,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_protein_distsv,lf_cell_line_distsv,lf_cell_distsv,lf_dna_distsv,lf_rna_distsv,label,orig_index,olabel
10,MYC,9,10,76,79,"Multicolour fluorescence in situ hybridization identified aberrant gains of MYC, KIT and FLT3 and deletions of PTEN and CDKN2 in individual cell lines, and also revealed examples of extensive structural chromosome reorganization.",22236332_3,0,-1,-1,-1,-1,0,10,0
12,PTEN,17,18,111,115,"Multicolour fluorescence in situ hybridization identified aberrant gains of MYC, KIT and FLT3 and deletions of PTEN and CDKN2 in individual cell lines, and also revealed examples of extensive structural chromosome reorganization.",22236332_3,0,-1,-1,-1,-1,0,12,0
30,P-glycoprotein,8,9,57,71,"Chemical interactions were investigated on efflux pumps, P-glycoprotein (Pgp) and multidrug resistance associated proteins (MRP1/MRP2), and on biotransformation enzymes, cytochrome P450 (CYP1A/CYP3A).",23064032_2,0,-1,-1,-1,-1,0,30,0
32,multidrug resistance,13,15,82,102,"Chemical interactions were investigated on efflux pumps, P-glycoprotein (Pgp) and multidrug resistance associated proteins (MRP1/MRP2), and on biotransformation enzymes, cytochrome P450 (CYP1A/CYP3A).",23064032_2,0,-1,-1,-1,-1,0,32,0
41,MRP2,6,7,56,60,"Exposure to troleandomycin and β-naphthoflavone induced MRP2 mRNA levels, but no effects were seen on MRP1 or Pgp expressions.",23064032_4,0,-1,-1,-1,-1,0,41,0
65,CYP3A,24,25,146,151,"A CYP3A-like cDNA sequence was isolated from PLHC-1, but basal expression and activities were low and the gene was not responsive to prototypical CYP3A inducers.",23064032_8,0,-1,-1,-1,-1,0,65,0
105,TLR9,4,5,22,26,Toll-like receptor 9 (TLR9) recognizes both bacterial and self-DNA and it is abundantly expressed in the gastrointestinal tract.,23082743_0,0,-1,-1,-1,-1,0,105,0
114,TLR9,13,14,74,78,We assessed the effect of various DNA ligands on cellular invasion and on TLR9 and matrix metalloproteinase expression of three gastrointestinal cancer cell lines.,23082743_2,0,-1,-1,-1,-1,0,114,0
115,metalloproteinase,16,17,90,107,We assessed the effect of various DNA ligands on cellular invasion and on TLR9 and matrix metalloproteinase expression of three gastrointestinal cancer cell lines.,23082743_2,0,-1,-1,-1,-1,0,115,0
124,Escherichia coli,24,26,146,162,"DNA-ligands described in this study include CpG-ODN M362, 9-mer (hairpin), human telomeric sequence h-Tel22 G-quadruplex, and bacterial DNAs from Escherichia coli and Helicobacter pylori.",23082743_3,0,-1,-1,-1,-1,0,124,0
132,TLR9,29,30,190,194,"The DNA-induced invasion was inhibited with a broad-spectrum MMP inhibitor and partly also with chloroquine suggesting that it could be mediated via MMP activation, endosomal signaling, and TLR9.",23082743_5,0,-1,-1,-1,-1,0,132,0
159,Complex I,3,5,16,25,"Eleven genes of Complex I, five genes each of Complex III and Complex IV, and seven genes of Complex V showed brain region-specific reduced expression in autism.",23088660_5,0,-1,-1,-1,-1,0,159,0
160,Complex III,10,12,46,57,"Eleven genes of Complex I, five genes each of Complex III and Complex IV, and seven genes of Complex V showed brain region-specific reduced expression in autism.",23088660_5,0,-1,-1,-1,-1,0,160,0
169,Complex I,14,16,51,60,"ATP5A1 (Complex V), ATP5G3 (Complex V) and NDUFA5 (Complex I) showed consistently reduced expression in all the brain regions of autism patients.",23088660_6,0,-1,-1,-1,-1,0,169,0
172,mitogen-activated protein kinase 13,7,11,41,76,"Upon silencing ATP5A1, the expression of mitogen-activated protein kinase 13 (MAPK13), a p38 MAPK responsive to stress stimuli, was upregulated in HEK 293 cells.",23088660_7,0,-1,-1,-1,-1,0,172,0
174,p38 MAPK,16,18,89,97,"Upon silencing ATP5A1, the expression of mitogen-activated protein kinase 13 (MAPK13), a p38 MAPK responsive to stress stimuli, was upregulated in HEK 293 cells.",23088660_7,0,-1,-1,-1,-1,0,174,0
