Reduction	reduction	O	O	O	O
of	of	O	O	O	O
heparan	heparan	O	O	O	O
sulphate-associated	sulphate-associated	O	O	O	O
anionic	anionic	O	O	O	O
sites	sites	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
glomerular	glomerular	O	O	O	O
basement	basement	O	O	O	O
membrane	membrane	O	O	O	O
of	of	O	O	O	O
rats	rats	O	O	O	O
with	with	O	O	O	O
streptozotocin-induced	streptozotocin-induced	O	O	O	O
diabetic	diabetic	O	DISEASE	OTHERS	I
nephropathy	nephropathy	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Heparan	heparan	O	O	O	O
sulphate-associated	sulphate-associated	O	O	O	O
anionic	anionic	O	O	O	O
sites	sites	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
glomerular	glomerular	O	O	O	O
basement	basement	O	O	O	O
membrane	membrane	O	O	O	O
were	were	O	O	O	O
studied	studied	O	O	O	O
in	in	O	O	O	O
rats	rats	O	O	O	O
8	8	O	O	O	O
months	months	O	O	O	O
after	after	O	O	O	O
induction	induction	O	O	O	O
of	of	O	O	O	O
diabetes	diabetes	O	DISEASE	OTHERS	I
by	by	O	O	O	O
streptozotocin	streptozotocin	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
in	in	O	O	O	O
age-	age-	O	O	O	O
adn	adn	O	O	O	O
sex-matched	sex-matched	O	O	O	O
control	control	O	O	O	O
rats	rats	O	O	O	O
,	,	O	O	O	O
employing	employing	O	O	O	O
the	the	O	O	O	O
cationic	cationic	O	O	O	O
dye	dye	O	O	O	O
cuprolinic	cuprolinic	O	O	OTHERS	I
blue	blue	O	O	OTHERS	I
.	.	O	O	O	O

Morphometric	morphometric	O	O	O	O
analysis	analysis	O	O	O	O
at	at	O	O	O	O
the	the	O	O	O	O
ultrastructural	ultrastructural	O	O	O	O
level	level	O	O	O	O
was	was	O	O	O	O
performed	performed	O	O	O	O
using	using	O	O	O	O
a	a	O	O	O	O
computerized	computerized	O	O	O	O
image	image	O	O	O	O
processor	processor	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
heparan	heparan	O	O	OTHERS	I
sulphate	sulphate	O	O	OTHERS	I
specificity	specificity	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
cuprolinic	cuprolinic	O	O	OTHERS	I
blue	blue	O	O	OTHERS	I
staining	staining	O	O	O	O
was	was	O	O	O	O
demonstrated	demonstrated	O	O	O	O
by	by	O	O	O	O
glycosaminoglycan-degrading	glycosaminoglycan-degrading	O	O	O	O
enzymes	enzymes	O	O	O	O
,	,	O	O	O	O
showing	showing	O	O	O	O
that	that	O	O	O	O
pretreatment	pretreatment	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
sections	sections	O	O	O	O
