Assessment	assessment	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
onset	onset	O	O	O	O
and	and	O	O	O	O
persistence	persistence	O	O	O	O
of	of	O	O	O	O
amnesia	amnesia	O	DISEASE	OTHERS	I
during	during	O	O	O	O
procedural	procedural	O	O	O	O
sedation	sedation	O	O	O	O
with	with	O	O	O	O
propofol	propofol	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

OBJECTIVES	objectives	O	O	O	O
:	:	O	O	O	O
To	to	O	O	O	O
assess	assess	O	O	O	O
patients	patients	O	O	O	O
'	'	O	O	O	O
ability	ability	O	O	O	O
to	to	O	O	O	O
repeat	repeat	O	O	O	O
and	and	O	O	O	O
recall	recall	O	O	O	O
words	words	O	O	O	O
presented	presented	O	O	O	O
to	to	O	O	O	O
them	them	O	O	O	O
while	while	O	O	O	O
undergoing	undergoing	O	O	O	O
procedural	procedural	O	O	O	O
sedation	sedation	O	O	O	O
with	with	O	O	O	O
propofol	propofol	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
and	and	O	O	O	O
correlate	correlate	O	O	O	O
their	their	O	O	O	O
recall	recall	O	O	O	O
with	with	O	O	O	O
their	their	O	O	O	O
level	level	O	O	O	O
of	of	O	O	O	O
awareness	awareness	O	O	O	O
as	as	O	O	O	O
measured	measured	O	O	O	O
by	by	O	O	O	O
bispectral	bispectral	O	O	O	O
index	index	O	O	O	O
(	(	O	O	O	O
BIS	bis	O	O	O	O
)	)	O	O	O	O
monitoring	monitoring	O	O	O	O
.	.	O	O	O	O

METHODS	methods	O	O	O	O
:	:	O	O	O	O
This	this	O	O	O	O
was	was	O	O	O	O
a	a	O	O	O	O
prospective	prospective	O	O	O	O
,	,	O	O	O	O
single-intervention	single-intervention	O	O	O	O
study	study	O	O	O	O
of	of	O	O	O	O
consenting	consenting	O	O	O	O
adult	adult	O	O	O	O
patients	patients	O	O	O	O
undergoing	undergoing	O	O	O	O
procedural	procedural	O	O	O	O
sedation	sedation	O	O	O	O
with	with	O	O	O	O
propofol	propofol	CHEMICALS	O	OTHERS	I
between	between	O	O	O	O
December	december	O	O	O	O
28	28	O	O	O	O
,	,	O	O	O	O
2002	2002	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
October	october	O	O	O	O
31	31	O	O	O	O
,	,	O	O	O	O
2003	2003	O	O	O	O
.	.	O	O	O	O

BIS	bis	O	O	O	O
monitoring	monitoring	O	O	O	O
was	was	O	O	O	O
initiated	initiated	O	O	O	O
starting	starting	O	O	O	O
3	3	O	O	O	O
minutes	minutes	O	O	O	O
before	before	O	O	O	O
the	the	O	O	O	O
procedure	procedure	O	O	O	O
and	and	O	O	O	O
continuing	continuing	O	O	O	O
until	until	O	O	O	O
the	the	O	O	O	O
patient	patient	O	O	O	O
had	had	O	O	O	O
regained	regained	O	O	O	O
baseline	baseline	O	O	O	O
mental	mental	O	O	O	O
status	status	O	O	O	O
.	.	O	O	O	O

At	at	O	O	O	O
1-minute	1-minute	O	O	O	O
intervals	intervals	O	O	O	O
during	during	O	O	O	O
the	the	O	O	O	O
procedural	procedural	O	O	O	O
sedation	sedation	O	O	O	O
,	,	O	O	O	O
until	until	O	O	O	O
the	the	O	O	O	O
patient	patient	O	O	O	O
regained	regained	O	O	O	O
baseline	baseline	O	O	O	O
mental	mental	O	O	O	O
status	status	O	O	O	O
at	at	O	O	O	O
the	the	O	O	O	O
end	end	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
procedure	procedure	O	O	O	O
,	,	O	O	O	O
a	a	O	O	O	O
word	word	O	O	O	O
from	from	O	O	O	O
a	a	O	O	O	O
standardized	standardized	O	O	O	O
list	list	O	O	O	O
was	was	O	O	O	O
read	read	O	O	O	O
aloud	aloud	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
patient	patient	O	O	O	O
was	was	O	O	O	O
asked	asked	O	O	O	O
to	to	O	O	O	O
immediately	immediately	O	O	O	O
repeat	repeat	O	O	O	O
the	the	O	O	O	O
word	word	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
investigator	investigator	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
BIS	bis	O	O	O	O
score	score	O	O	O	O
at	at	O	O	O	O
the	the	O	O	O	O
time	time	O	O	O	O
the	the	O	O	O	O
word	word	O	O	O	O
was	was	O	O	O	O
read	read	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
patient	patient	O	O	O	O
's	's	O	O	O	O
ability	ability	O	O	O	O
to	to	O	O	O	O
repeat	repeat	O	O	O	O
the	the	O	O	O	O
word	word	O	O	O	O
were	were	O	O	O	O
recorded	recorded	O	O	O	O
.	.	O	O	O	O

After	after	O	O	O	O
the	the	O	O	O	O
procedure	procedure	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
patient	patient	O	O	O	O
was	was	O	O	O	O
asked	asked	O	O	O	O
to	to	O	O	O	O
