Evidence	evidence	O	O	O	O
of	of	O	O	O	O
functional	functional	O	O	O	O
somatotopy	somatotopy	O	O	O	O
in	in	O	O	O	O
GPi	gpi	O	O	O	O
from	from	O	O	O	O
results	results	O	O	O	O
of	of	O	O	O	O
pallidotomy	pallidotomy	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
objective	objective	O	O	O	O
of	of	O	O	O	O
this	this	O	O	O	O
study	study	O	O	O	O
was	was	O	O	O	O
to	to	O	O	O	O
explore	explore	O	O	O	O
the	the	O	O	O	O
functional	functional	O	O	O	O
anatomy	anatomy	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
globus	globus	O	O	O	O
pallidus	pallidus	O	O	O	O
internus	internus	O	O	O	O
(	(	O	O	O	O
GPi	gpi	O	O	O	O
)	)	O	O	O	O
by	by	O	O	O	O
studying	studying	O	O	O	O
the	the	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
unilateral	unilateral	O	O	O	O
pallidotomy	pallidotomy	O	O	O	O
on	on	O	O	O	O
parkinsonian	parkinsonian	O	DISEASE	OTHERS	I
'	'	O	O	O	O
off	off	O	O	O	O
'	'	O	O	O	O
signs	signs	O	O	O	O
and	and	O	O	O	O
levodopa-induced	levodopa-induced	O	O	O	O
dyskinesias	dyskinesias	O	DISEASE	OTHERS	I
(	(	O	O	O	O
LID	lid	O	DISEASE	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

We	we	O	O	O	O
found	found	O	O	O	O
significant	significant	O	O	O	O
positive	positive	O	O	O	O
correlations	correlations	O	O	O	O
between	between	O	O	O	O
the	the	O	O	O	O
preoperative	preoperative	O	O	O	O
levodopa	levodopa	CHEMICALS	O	OTHERS	I
responsiveness	responsiveness	O	O	O	O
of	of	O	O	O	O
motor	motor	O	O	O	O
signs	signs	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
levodopa	levodopa	CHEMICALS	O	OTHERS	I
responsiveness	responsiveness	O	O	O	O
of	of	O	O	O	O
scores	scores	O	O	O	O
in	in	O	O	O	O
timed	timed	O	O	O	O
tests	tests	O	O	O	O
(	(	O	O	O	O
Core	core	O	O	O	O
Assessment	assessment	O	O	O	O
Program	program	O	O	O	O
for	for	O	O	O	O
Intracerebral	intracerebral	O	O	O	O
Transplantations	transplantations	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
contralateral	contralateral	O	O	O	O
limbs	limbs	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
improvement	improvement	O	O	O	O
in	in	O	O	O	O
these	these	O	O	O	O
scores	scores	O	O	O	O
after	after	O	O	O	O
surgery	surgery	O	O	O	O
,	,	O	O	O	O
whereas	whereas	O	O	O	O
there	there	O	O	O	O
was	was	O	O	O	O
no	no	O	O	O	O
correlation	correlation	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
improvement	improvement	O	O	O	O
in	in	O	O	O	O
LID	lid	O	DISEASE	OTHERS	I
.	.	O	O	O	O

We	we	O	O	O	O
also	also	O	O	O	O
found	found	O	O	O	O
a	a	O	O	O	O
highly	highly	O	O	O	O
significant	significant	O	O	O	O
correlation	correlation	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
:	:	O	O	O	O
<	<	O	O	O	O
0.0001	0.0001	O	O	O	O
,	,	O	O	O	O
r	r	O	O	O	O
=	=	O	O	O	O
0.8	0.8	O	O	O	O
)	)	O	O	O	O
between	between	O	O	O	O
the	the	O	O	O	O
volume	volume	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
ventral	ventral	O	O	O	O
lesion	lesion	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
GPi	gpi	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
improvement	improvement	O	O	O	O
in	in	O	O	O	O
LID	lid	O	DISEASE	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
contralateral	contralateral	O	O	O	O
limbs	limbs	O	O	O	O
,	,	O	O	O	O
whereas	whereas	O	O	O	O
there	there	O	O	O	O
was	was	O	O	O	O
no	no	O	O	O	O
correlation	correlation	O	O	O	O
between	between	O	O	O	O
the	the	O	O	O	O
ventral	ventral	O	O	O	O
volume	volume	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
improvement	improvement	O	O	O	O
in	in	O	O	O	O
parkinsonian	parkinsonian	O	DISEASE	OTHERS	I
'	'	O	O	O	O
off	off	O	O	O	O
'	'	O	O	O	O
signs	signs	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
volumes	volumes	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
total	total	O	O	O	O
lesion	lesion	O	O	O	O
cylinder	cylinder	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
dorsal	dorsal	O	O	O	O
lesion	lesion	O	O	O	O
did	did	O	O	O	O
not	not	O	O	O	O
correlate	correlate	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
outcome	outcome	O	O	O	O
of	of	O	O	O	O
either	either	O	O	O	O
dyskinesias	dyskinesias	O	DISEASE	OTHERS	I
or	or	O	O	O	O
parkinsonian	parkinsonian	O	DISEASE	OTHERS	I
'	'	O	O	O	O
off	off	O	O	O	O
'	'	O	O	O	O
signs	signs	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
differential	differential	O	O	O	O
predictive	predictive	O	O	O	O
value	value	O	O	O	O
of	of	O	O	O	O
levodopa	levodopa	CHEMICALS	O	OTHERS	I
responsiveness	responsiveness	O	O	O	O
for	for	O	O	O	O
the	the	O	O	O	O
outcome	outcome	O	O	O	O
of	of	O	O	O	O
parkinsonian	parkinsonian	O	DISEASE	OTHERS	I
