Placebo-level	placebo-level	O	O	O	O
incidence	incidence	O	O	O	O
of	of	O	O	O	O
extrapyramidal	extrapyramidal	O	DISEASE	OTHERS	I
symptoms	symptoms	O	DISEASE	OTHERS	I
(	(	O	O	O	O
EPS	eps	O	DISEASE	OTHERS	I
)	)	O	O	O	O
with	with	O	O	O	O
quetiapine	quetiapine	O	O	OTHERS	I
in	in	O	O	O	O
controlled	controlled	O	O	O	O
studies	studies	O	O	O	O
of	of	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
bipolar	bipolar	O	DISEASE	OTHERS	I
mania	mania	O	DISEASE	OTHERS	I
.	.	O	O	O	O

OBJECTIVES	objectives	O	O	O	O
:	:	O	O	O	O
To	to	O	O	O	O
evaluate	evaluate	O	O	O	O
extrapyramidal	extrapyramidal	O	DISEASE	OTHERS	I
symptoms	symptoms	O	DISEASE	OTHERS	I
(	(	O	O	O	O
EPS	eps	O	DISEASE	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
including	including	O	O	O	O
akathisia	akathisia	O	DISEASE	OTHERS	I
,	,	O	O	O	O
with	with	O	O	O	O
quetiapine	quetiapine	O	O	OTHERS	I
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
bipolar	bipolar	O	DISEASE	OTHERS	I
mania	mania	O	DISEASE	OTHERS	I
.	.	O	O	O	O

METHODS	methods	O	O	O	O
:	:	O	O	O	O
Data	data	O	O	O	O
were	were	O	O	O	O
analyzed	analyzed	O	O	O	O
from	from	O	O	O	O
four	four	O	O	O	O
similarly	similarly	O	O	O	O
designed	designed	O	O	O	O
,	,	O	O	O	O
randomized	randomized	O	O	O	O
,	,	O	O	O	O
double-blind	double-blind	O	O	O	O
,	,	O	O	O	O
3-	3-	O	O	O	O
to	to	O	O	O	O
12-week	12-week	O	O	O	O
studies	studies	O	O	O	O
.	.	O	O	O	O

Two	two	O	O	O	O
studies	studies	O	O	O	O
evaluated	evaluated	O	O	O	O
quetiapine	quetiapine	O	O	OTHERS	I
monotherapy	monotherapy	O	O	O	O
(	(	O	O	O	O
up	up	O	O	O	O
to	to	O	O	O	O
800	800	O	O	O	O
mg/day	mg/day	O	O	O	O
)	)	O	O	O	O
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
209	209	O	O	O	O
)	)	O	O	O	O
versus	versus	O	O	O	O
placebo	placebo	O	O	O	O
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
198	198	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
with	with	O	O	O	O
lithium	lithium	CHEMICALS	O	OTHERS	I
or	or	O	O	O	O
haloperidol	haloperidol	CHEMICALS	O	OTHERS	I
monotherapy	monotherapy	O	O	O	O
as	as	O	O	O	O
respective	respective	O	O	O	O
active	active	O	O	O	O
controls	controls	O	O	O	O
.	.	O	O	O	O

Two	two	O	O	O	O
studies	studies	O	O	O	O
evaluated	evaluated	O	O	O	O
quetiapine	quetiapine	O	O	OTHERS	I
(	(	O	O	O	O
up	up	O	O	O	O
