Nerve	nerve	CHEMICALS	O	OTHERS	I
growth	growth	CHEMICALS	O	OTHERS	I
factor	factor	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
prostaglandins	prostaglandins	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
urine	urine	O	O	O	O
of	of	O	O	O	O
female	female	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
overactive	overactive	O	O	OTHERS	I
bladder	bladder	O	O	OTHERS	I
.	.	O	O	O	O

PURPOSE	purpose	O	O	O	O
:	:	O	O	O	O
NGF	ngf	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
PGs	pgs	O	O	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
bladder	bladder	O	O	O	O
can	can	O	O	O	O
be	be	O	O	O	O
affected	affected	O	O	O	O
by	by	O	O	O	O
pathological	pathological	O	O	O	O
changes	changes	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
bladder	bladder	O	O	O	O
and	and	O	O	O	O
these	these	O	O	O	O
changes	changes	O	O	O	O
can	can	O	O	O	O
be	be	O	O	O	O
detected	detected	O	O	O	O
in	in	O	O	O	O
urine	urine	O	O	O	O
.	.	O	O	O	O

We	we	O	O	O	O
investigated	investigated	O	O	O	O
changes	changes	O	O	O	O
in	in	O	O	O	O
urinary	urinary	O	O	O	O
NGF	ngf	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
PGs	pgs	O	O	OTHERS	I
in	in	O	O	O	O
women	women	O	O	O	O
with	with	O	O	O	O
OAB	oab	O	O	OTHERS	I
.	.	O	O	O	O

MATERIALS	materials	O	O	O	O
AND	and	O	O	O	O
METHODS	methods	O	O	O	O
:	:	O	O	O	O
The	the	O	O	O	O
study	study	O	O	O	O
groups	groups	O	O	O	O
included	included	O	O	O	O
65	65	O	O	O	O
women	women	O	O	O	O
with	with	O	O	O	O
OAB	oab	O	O	OTHERS	I
and	and	O	O	O	O
20	20	O	O	O	O
without	without	O	O	O	O
bladder	bladder	O	O	O	O
symptoms	symptoms	O	O	O	O
who	who	O	O	O	O
served	served	O	O	O	O
as	as	O	O	O	O
controls	controls	O	O	O	O
.	.	O	O	O	O

Evaluation	evaluation	O	O	O	O
included	included	O	O	O	O
patient	patient	O	O	O	O
history	history	O	O	O	O
,	,	O	O	O	O
urinalysis	urinalysis	O	O	O	O
,	,	O	O	O	O
a	a	O	O	O	O
voiding	voiding	O	O	O	O
diary	diary	O	O	O	O
and	and	O	O	O	O
urodynamic	urodynamic	O	O	O	O
studies	studies	O	O	O	O
.	.	O	O	O	O

Urine	urine	O	O	O	O
samples	samples	O	O	O	O
were	were	O	O	O	O
collected	collected	O	O	O	O
.	.	O	O	O	O

NGF	ngf	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
PGE2	pge2	O	O	OTHERS	I
,	,	O	O	O	O
PGF2alpha	pgf2alpha	O	O	OTHERS	I
and	and	O	O	O	O
PGI2	pgi2	O	O	OTHERS	I
were	were	O	O	O	O
measured	measured	O	O	O	O
using	using	O	O	O	O
enzyme-linked	enzyme-linked	O	O	O	O
immunosorbent	immunosorbent	O	O	O	O
assay	assay	O	O	O	O
and	and	O	O	O	O
compared	compared	O	O	O	O
between	between	O	O	O	O
the	the	O	O	O	O
groups	groups	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
addition	addition	O	O	O	O
,	,	O	O	O	O
correlations	correlations	O	O	O	O
between	between	O	O	O	O
urinary	urinary	O	O	O	O
NGF	ngf	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
PG	pg	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
and	and	O	O	O	O
urodynamic	urodynamic	O	O	O	O
parameters	parameters	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
OAB	oab	O	O	OTHERS	I
were	were	O	O	O	O
examined	examined	O	O	O	O
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
Urinary	urinary	O	O	O	O
NGF	ngf	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
PGE2	pge2	O	O	OTHERS	I
and	and	O	O	O	O
PGF2alpha	pgf2alpha	O	O	OTHERS	I
were	were	O	O	O	O
significantly	significantly	O	O	O	O
increased	increased	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
OAB	oab	O	O	OTHERS	I
compared	compared	O	O	O	O
with	with	O	O	O	O
controls	controls	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
<	<	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

However	however	O	O	O	O
,	,	O	O	O	O
urinary	urinary	O	O	O	O
PGI2	pgi2	O	O	OTHERS	I
was	was	O	O	O	O
not	not	O	O	O	O
different	different	O	O	O	O
between	between	O	O	O	O
controls	controls	O	O	O	O
and	and	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
OAB	oab	O	O	OTHERS	I
.	.	O	O	O	O

In	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
OAB	oab	O	O	OTHERS	I
urinary	urinary	O	O	O	O
PGE2	pge2	O	O	OTHERS	I
positively	positively	O	O	O	O
correlated	correlated	O	O	O	O
with	with	O	O	O	O
volume	volume	O	O	O	O
at	at	O	O	O	O
first	first	O	O	O	O
desire	desire	O	O	O	O
to	to	O	O	O	O
void	void	O	O	O	O
and	and	O	O	O	O
maximum	maximum	O	O	O	O
cystometric	cystometric	O	O	O	O
capacity	capacity	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
<	<	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Urinary	urinary	O	O	O	O
