Effect	effect	O	O	O	O
of	of	O	O	O	O
intravenous	intravenous	O	O	O	O
nimodipine	nimodipine	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
and	and	O	O	O	O
outcome	outcome	O	O	O	O
after	after	O	O	O	O
acute	acute	O	O	OTHERS	I
stroke	stroke	O	DISEASE	OTHERS	I
.	.	O	O	O	O

BACKGROUND	background	O	O	O	O
AND	and	O	O	O	O
PURPOSE	purpose	O	O	O	O
:	:	O	O	O	O
The	the	O	O	O	O
Intravenous	intravenous	O	O	O	O
Nimodipine	nimodipine	CHEMICALS	O	OTHERS	I
West	west	O	O	O	O
European	european	O	O	O	O
Stroke	stroke	O	DISEASE	OTHERS	I
Trial	trial	O	O	O	O
(	(	O	O	O	O
INWEST	inwest	O	O	O	O
)	)	O	O	O	O
found	found	O	O	O	O
a	a	O	O	O	O
correlation	correlation	O	O	O	O
between	between	O	O	O	O
nimodipine-induced	nimodipine-induced	O	O	O	O
reduction	reduction	O	O	OTHERS	I
in	in	O	O	OTHERS	I
blood	blood	O	O	OTHERS	I
pressure	pressure	O	O	OTHERS	I
(	(	O	O	O	O
BP	bp	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
an	an	O	O	O	O
unfavorable	unfavorable	O	O	O	O
outcome	outcome	O	O	O	O
in	in	O	O	O	O
acute	acute	O	O	OTHERS	I
stroke	stroke	O	DISEASE	OTHERS	I
.	.	O	O	O	O

We	we	O	O	O	O
sought	sought	O	O	O	O
to	to	O	O	O	O
confirm	confirm	O	O	O	O
this	this	O	O	O	O
correlation	correlation	O	O	O	O
with	with	O	O	O	O
and	and	O	O	O	O
without	without	O	O	O	O
adjustment	adjustment	O	O	O	O
for	for	O	O	O	O
prognostic	prognostic	O	O	O	O
variables	variables	O	O	O	O
and	and	O	O	O	O
to	to	O	O	O	O
investigate	investigate	O	O	O	O
outcome	outcome	O	O	O	O
in	in	O	O	O	O
subgroups	subgroups	O	O	O	O
with	with	O	O	O	O
