,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_transcription_factor_distsv,lf_t_lymphocyte_distsv,olabel,orig_index,label,prob_0,prob_1,prob_2
12,CTL immunity,9,11,55,67,"The presence of T-helper cells favors the induction of CTL immunity, whereas the absence of T-helper cells can result in CTL tolerance.",10395322_1,-1,-1,-1,-1,12,-1,0.003906807,8.8702705e-05,0.9960045
15,CTL tolerance,21,23,121,134,"The presence of T-helper cells favors the induction of CTL immunity, whereas the absence of T-helper cells can result in CTL tolerance.",10395322_1,-1,-1,-1,-1,15,-1,0.0012346798,0.0018075026,0.9969578
19,that triggering,3,5,20,35,We demonstrate here that triggering of CD40 in vivo can considerably enhance the efficacy of peptide-based anti-tumor vaccines.,10395322_3,-1,-1,-1,-1,19,-1,3.1473264e-05,0.9999504,1.8135941e-05
21,peptide-based,15,16,93,106,We demonstrate here that triggering of CD40 in vivo can considerably enhance the efficacy of peptide-based anti-tumor vaccines.,10395322_3,0,-1,2,-1,21,-1,0.00029747482,0.9996177,8.4751366e-05
23,tolerogenic peptide,4,6,21,40,The combination of a tolerogenic peptide vaccine containing a minimal essential CTL epitope with an activating antibody against CD40 converts tolerization into strong CTL priming.,10395322_4,-1,-1,-1,-1,23,-1,0.00012853021,0.99983716,3.427543e-05
27,tumor-specific peptide,9,11,58,80,"Moreover, CD40 ligation can provide an already protective tumor-specific peptide vaccine with the capacity to induce therapeutic CTL immunity in tumor-bearing mice.",10395322_5,-1,-1,-1,-1,27,-1,0.0005284378,0.99941003,6.1488536e-05
30,therapeutic CTL immunity,17,20,117,141,"Moreover, CD40 ligation can provide an already protective tumor-specific peptide vaccine with the capacity to induce therapeutic CTL immunity in tumor-bearing mice.",10395322_5,-1,-1,-1,-1,30,-1,0.24902263,0.65111893,0.099858426
33,that the,3,5,24,32,"These findings indicate that the CD40-CD40 ligand pair can act as a 'switch', determining whether naive peripheral CTLs are primed or tolerized, and support the clinical use of CD40-stimulating agents as components of anti-cancer vaccines.",10395322_6,-1,-1,-1,-1,33,-1,4.2500983e-06,0.99999225,3.4827642e-06
41,therapy,14,15,91,98,"The E6 and E7 oncoproteins of human papillomavirus are potentially ideal targets of immune therapy for cervical cancer, because their expression is necessary for cellular transformation.",10419051_1,0,1,-1,-1,41,-1,7.57422e-06,0.9999856,6.8310924e-06
43,cellular transformation,25,27,162,185,"The E6 and E7 oncoproteins of human papillomavirus are potentially ideal targets of immune therapy for cervical cancer, because their expression is necessary for cellular transformation.",10419051_1,-1,-1,-1,-1,43,-1,0.0007796782,0.021562664,0.9776577
44,proteins,5,6,24,32,"Although both E6 and E7 proteins contain numerous predicted cytotoxic T lymphocyte (CTL) epitopes that are capable of binding to human leukocyte antigens, the majority of earlier in vivo tumor rejection studies have focused on E7.",10419051_2,0,1,-1,-1,44,-1,5.351734e-06,0.99998975,4.9310906e-06
52,that gene,3,5,13,22,"We show here that gene gun-mediated skin transfection of plasmid vector encoding the nontransforming, amino-terminal half of E6 resulted in the induction of E6-specific CTL activity and tumor rejection in a murine model.",10419051_3,-1,-1,-1,-1,52,-1,6.4883284e-06,0.9999881,5.468694e-06
70,that transfection,3,5,21,38,Our results indicate that transfection of the mIL-12 gene at the vaccination site may represent an attractive adjuvant for cancer gene immunotherapy.,10419051_6,-1,-1,-1,-1,70,-1,4.5597876e-06,0.99999094,4.512178e-06
75,the transcription factor nuclear factor-kappaB,2,7,14,60,Activation of the transcription factor nuclear factor-kappaB (NFkappaB) is impaired in T cells from patients with renal cell carcinomas (RCCs).,10491412_0,-1,-1,-1,-1,75,-1,1.2242498e-05,0.99997723,1.0526603e-05
83,factor IkappaBalpha,27,29,176,195,"In circulating T cells from a subset of patients with RCCs, the suppression of NFkappaB binding activity is downstream from the stimulus-induced degradation of the cytoplasmic factor IkappaBalpha.",10491412_1,-1,-1,-1,-1,83,-1,1.7066504e-05,0.9999721,1.0787982e-05
87,these cells,26,28,191,202,"Tumor-derived soluble products from cultured RCC explants inhibit NFkappaB activity in T cells from healthy volunteers, despite a normal level of stimulus-induced IkappaBalpha degradation in these cells.",10491412_2,-1,-1,-1,-1,87,-1,1.5879361e-05,9.870568e-06,0.99997425
92,kidney tissue,15,17,96,109,"Indeed, we detected gangliosides in supernatants from RCC explants and not from adjacent normal kidney tissue.",10491412_4,-1,-1,-1,-1,92,-1,0.0023790565,0.90252703,0.09509388
95,the cytokines,30,32,181,194,"Gangliosides prepared from RCC supernatants, as well as the purified bovine gangliosides G(m1) and G(d1a), suppressed NFkappaB binding activity in T cells and reduced expression of the cytokines IL-2 and IFN-gamma.",10491412_5,-1,-1,-1,-1,95,-1,0.706449,0.29043177,0.0031193402
97,Taken together,0,2,0,14,"Taken together, our findings suggest that tumor-derived gangliosides may blunt antitumor immune responses in patients with RCCs.",10491412_6,-1,-1,-1,-1,97,-1,1.13053065e-05,0.99998045,8.205842e-06
98,that tumor-derived,6,8,37,55,"Taken together, our findings suggest that tumor-derived gangliosides may blunt antitumor immune responses in patients with RCCs.",10491412_6,-1,-1,-1,-1,98,-1,2.94532e-05,0.99995685,1.3708667e-05
102,immune responses to the,1,5,16,39,"Vaccine-induced immune responses to the HPV early antigens E6 and E7, which contribute to cell transformation and are thus expressed in these cervical cancers, could potentially eradicate malignant cells.",10772987_1,-1,-1,-1,-1,102,-1,0.8311824,0.16721027,0.0016073163
104,to cell transformation,14,17,87,109,"Vaccine-induced immune responses to the HPV early antigens E6 and E7, which contribute to cell transformation and are thus expressed in these cervical cancers, could potentially eradicate malignant cells.",10772987_1,-1,-1,-1,-1,104,-1,4.7937818e-05,0.00019580791,0.9997563
116,to tumor cell,19,22,111,124,"Data presented here demonstrate that depending on the model either CD4(+) or CD8(+) T cells provide protection to tumor cell challenge, resulting in striking differences in the efficacy of the four vaccines under investigation.",10772987_4,-1,-1,-1,-1,116,-1,0.0049548447,0.73799103,0.25705412
125,function,19,20,108,116,"Thymoma is known to contain CD4+CD8+ T cells, indicating that neoplastic epithelial cells of thymoma have a function as thymic cortical epithelium.",10886240_0,0,1,2,-1,125,-1,0.00021491955,0.9995852,0.00019984048
127,that there,6,8,27,37,"However, it has been shown that there is an impairment of CD4+ T cell development in thymoma and that IFN-gamma-induced HLA-DR expression on cultured thymic epithelial cells (TEC) derived from thymoma is decreased when compared with the normal thymus.",10886240_1,-1,-1,-1,-1,127,-1,4.185783e-06,0.9999913,4.5559686e-06
130,that IFN-gamma-induced,20,22,97,119,"However, it has been shown that there is an impairment of CD4+ T cell development in thymoma and that IFN-gamma-induced HLA-DR expression on cultured thymic epithelial cells (TEC) derived from thymoma is decreased when compared with the normal thymus.",10886240_1,-1,-1,-1,-1,130,-1,0.850834,0.14742315,0.0017428641
136,thymus,42,43,244,250,"However, it has been shown that there is an impairment of CD4+ T cell development in thymoma and that IFN-gamma-induced HLA-DR expression on cultured thymic epithelial cells (TEC) derived from thymoma is decreased when compared with the normal thymus.",10886240_1,-1,1,2,-1,136,-1,1.0537065e-05,0.9999826,6.8687323e-06
138,to play,9,11,45,52,MHC class II transactivator (CIITA) is known to play a critical role in IFN-gamma-induced MHC II expression.,10886240_2,-1,-1,-1,-1,138,-1,9.357091e-06,0.99998486,5.7853013e-06
143,to IFN-gamma,22,24,133,145,"In this study, we attempted to elucidate whether CIITA is responsible for the impaired up-regulation of MHC II molecules in response to IFN-gamma in thymoma TEC.",10886240_3,-1,-1,-1,-1,143,-1,0.99313533,0.0062926337,0.00057203794
144,thymoma TEC,25,27,149,160,"In this study, we attempted to elucidate whether CIITA is responsible for the impaired up-regulation of MHC II molecules in response to IFN-gamma in thymoma TEC.",10886240_3,-1,-1,-1,-1,144,-1,5.2867485e-06,0.99999,4.7215253e-06
146,that the,8,10,83,91,A quantitative reverse transriptase-polymerase chain reaction examination revealed that the induced level of CIITA was significantly lower in thymoma TEC than in normal TEC.,10886240_4,-1,-1,-1,-1,146,-1,4.5763018e-06,0.99999154,3.943499e-06
147,thymoma TEC than,18,21,142,158,A quantitative reverse transriptase-polymerase chain reaction examination revealed that the induced level of CIITA was significantly lower in thymoma TEC than in normal TEC.,10886240_4,-1,-1,-1,-1,147,-1,5.2000587e-06,0.9999894,5.4130255e-06
150,thymoma TEC,12,14,57,68,The induced levels of invariant chain (Ii) and HLA-DR in thymoma TEC were correlated with CIITA expression.,10886240_5,-1,-1,-1,-1,150,-1,7.1077484e-06,0.99998593,6.917295e-06
157,STAT1 to the,10,13,62,74,"A gel mobility shift assay however, revealed translocation of STAT1 to the nucleus in thymoma as well as normal TEC.",10886240_7,-1,-1,-1,-1,157,-1,4.440367e-06,0.99998784,7.754298e-06
161,the thymoma TEC to,6,10,54,72,Intercellular adhesion molecule-1 was up-regulated in the thymoma TEC to a level similar to normal TEC in response to IFN-gamma.,10886240_8,-1,-1,-1,-1,161,-1,4.0176346e-06,0.9999913,4.6646514e-06
164,to IFN-gamma,18,20,115,127,Intercellular adhesion molecule-1 was up-regulated in the thymoma TEC to a level similar to normal TEC in response to IFN-gamma.,10886240_8,-1,-1,-1,-1,164,-1,0.9885224,0.010546909,0.00093071477
167,to IFN-gamma,10,12,73,85,"These results indicate that impaired up-regulation of HLA-DR in response to IFN-gamma results from insufficient induction of CIITA, but not from the signal from IFN-gamma receptor to the nucleus.",10886240_9,-1,-1,-1,-1,167,-1,0.98423994,0.014894532,0.0008655246
169,IFN-gamma receptor to the,25,29,161,186,"These results indicate that impaired up-regulation of HLA-DR in response to IFN-gamma results from insufficient induction of CIITA, but not from the signal from IFN-gamma receptor to the nucleus.",10886240_9,-1,-1,-1,-1,169,-1,0.995363,0.0037432252,0.00089374196
180,the immune response,17,20,112,131,The E6 and E7 oncoproteins are constitutively expressed in these lesions and are therefore putative targets for the immune response against HPV.,10962445_1,-1,-1,-1,-1,180,-1,0.69152886,0.30677527,0.0016959254
181,The relation,0,2,0,12,The relation between HPV 16-specific memory cytotoxic T-cell precursor (mCTLp) activity to both oncoproteins and the natural course of cervical dysplasia was analyzed in 38 patients participating in a nonintervention cohort study of women with CIN and 11 HPV 16-positive cervical carcinoma patients.,10962445_2,-1,-1,-1,-1,181,-1,4.9729915e-06,0.9999902,4.7815674e-06
184,the natural,17,19,113,124,The relation between HPV 16-specific memory cytotoxic T-cell precursor (mCTLp) activity to both oncoproteins and the natural course of cervical dysplasia was analyzed in 38 patients participating in a nonintervention cohort study of women with CIN and 11 HPV 16-positive cervical carcinoma patients.,10962445_2,-1,-1,-1,-1,184,-1,5.5002915e-06,0.99998915,5.3197136e-06
187,the two,31,33,163,170,"In a cross-sectional study at the end of follow-up prior to biopsy, 8 of 20 patients with a persistent HPV 16 infection had specific mCTLp against at least one of the two oncoproteins.",10962445_3,-1,-1,-1,-1,187,-1,1.6332115e-05,0.99997604,7.610213e-06
190,protein,14,15,82,89,"However, 5 of 11 cervical carcinoma patients showed mCTLp activity against the E7 protein only.",10962445_5,0,1,-1,-1,190,-1,4.5969286e-05,0.9999193,3.4721455e-05
204,to interferon alfa,32,35,186,204,"We wanted to study the expression of interferon regulatory factor 4 (IRF4) in various hematologic disorders, especially chronic myeloid leukemia (CML), and its association with response to interferon alfa (IFN-alpha) treatment in CML.MATERIALS AND METHODS: Blood samples from various hematopoietic cell lines, different leukemia patients (70 CML, 29 acute myeloid leukemia [AML], 10 chronic myelomonocytic leukemia [CMMoL], 10 acute lymphoblastic leukemia, and 10 chronic lymphoid leukemia patients), and 33 healthy volunteers were monitored for IRF4 expression by reverse transcriptase polymerase chain reaction.",11013272_1,-1,-1,-1,-1,204,-1,0.89145875,0.10589798,0.0026432502
207,Blood,44,45,257,262,"We wanted to study the expression of interferon regulatory factor 4 (IRF4) in various hematologic disorders, especially chronic myeloid leukemia (CML), and its association with response to interferon alfa (IFN-alpha) treatment in CML.MATERIALS AND METHODS: Blood samples from various hematopoietic cell lines, different leukemia patients (70 CML, 29 acute myeloid leukemia [AML], 10 chronic myelomonocytic leukemia [CMMoL], 10 acute lymphoblastic leukemia, and 10 chronic lymphoid leukemia patients), and 33 healthy volunteers were monitored for IRF4 expression by reverse transcriptase polymerase chain reaction.",11013272_1,0,1,-1,-1,207,-1,0.00024013467,0.9988952,0.00086467696
212,the IRF4,8,10,27,35,"Then, with a focus on CML, the IRF4 level was determined in sorted cell subpopulations from CML patients and healthy volunteers and in in vitro-stimulated CML cells.",11013272_2,-1,-1,-1,-1,212,-1,1.7407754e-05,0.99996614,1.6489836e-05
218,IFN-alpha therapy,12,14,74,91,"Furthermore, IRF4 expression was compared in the CML samples taken before IFN-alpha therapy and in 47 additional CML samples taken during IFN-alpha therapy.",11013272_3,-1,-1,-1,-1,218,-1,0.9993488,0.00033537304,0.0003158113
220,IFN-alpha therapy,22,24,138,155,"Furthermore, IRF4 expression was compared in the CML samples taken before IFN-alpha therapy and in 47 additional CML samples taken during IFN-alpha therapy.",11013272_3,-1,-1,-1,-1,220,-1,0.99943405,0.0002789685,0.00028698903
223,to IFN-alpha,8,10,62,74,IRF4 expression was then correlated with cytogenetic response to IFN-alpha.,11013272_4,-1,-1,-1,-1,223,-1,0.993956,0.0053497697,0.0006941906
228,IFN-alpha therapy,4,6,23,40,"In CML patients during IFN-alpha therapy, a significant increase in IRF4 levels was detected, and this was also observed in sorted T cells from CML patients.",11013272_7,-1,-1,-1,-1,228,-1,0.99930835,0.00041186277,0.0002798324
233,IFN-alpha therapy,4,6,25,42,The increase seen during IFN-alpha therapy was not due to different blood counts.,11013272_8,-1,-1,-1,-1,233,-1,0.99936074,0.00036374765,0.00027555574
235,blood,11,12,68,73,The increase seen during IFN-alpha therapy was not due to different blood counts.,11013272_8,0,1,-1,-1,235,-1,0.009626134,0.14066093,0.8497129
236,to the,2,4,10,16,"In regard to the cytogenetic response with IFN-alpha, a good response was associated with high IRF4 expression.",11013272_9,-1,-1,-1,-1,236,-1,5.0028416e-06,0.99999034,4.6523182e-06
241,to IFN-alpha therapy,22,25,125,145,"CONCLUSION: IRF4 expression is downregulated in T cells of CML patients, and its increase is associated with a good response to IFN-alpha therapy.",11013272_10,-1,-1,-1,-1,241,-1,0.0054524085,0.9943334,0.00021425205
245,to IFN-alpha,17,19,91,103,"These data suggest IRF4 expression as a useful marker to monitor, if not predict, response to IFN-alpha in CML.",11013272_11,-1,-1,-1,-1,245,-1,0.9914163,0.0077580623,0.0008256938
246,immunology,2,3,12,22,Advances in immunology during the past three decades have facilitated our understanding of the biology of specific lymphoid neoplasms including chronic lymphocytic leukemia (CLL).,11042507_0,0,1,2,-1,246,-1,0.98324627,0.013917384,0.0028362896
271,the complex,41,43,213,224,"Here, we include an update on our studies regarding CD154 expression in CLL, a review of the data regarding the consequences of CD40 engagement in CLL B cells, and a discussion of these findings in the context of the complex and potentially opposite outcomes that have been reported for CD40-mediated signals in CLL.",11042507_3,-1,-1,-1,-1,271,-1,6.5704126e-06,0.99998844,4.9802534e-06
274,therapy,3,4,21,28,"The implications for therapy, such as by impedance to CD154-CD40 interaction using antibody to CD154, or by selective inhibitors of NF-kappa B, are considered.",11042507_4,0,1,-1,-1,274,-1,4.48586e-06,0.99999094,4.6289756e-06
276,to CD154,14,16,92,100,"The implications for therapy, such as by impedance to CD154-CD40 interaction using antibody to CD154, or by selective inhibitors of NF-kappa B, are considered.",11042507_4,-1,-1,-1,-1,276,-1,0.014746602,0.2991168,0.6861366
