Comparison	comparison	O	O	O	O
of	of	O	O	O	O
developmental	developmental	O	O	O	O
toxicity	toxicity	O	DISEASE	OTHERS	I
of	of	O	O	O	O
selective	selective	O	O	O	O
and	and	O	O	O	O
non-selective	non-selective	O	O	O	O
cyclooxygenase-2	cyclooxygenase-2	O	O	O	O
inhibitors	inhibitors	O	O	O	O
in	in	O	O	O	O
CRL:(WI)WUBR	crl:(wi)wubr	O	O	O	O
Wistar	wistar	O	O	O	O
rats	rats	O	O	O	O
--	--	O	O	O	O
DFU	dfu	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
piroxicam	piroxicam	CHEMICALS	O	OTHERS	I
study	study	O	O	O	O
.	.	O	O	O	O

BACKGROUND	background	O	O	O	O
:	:	O	O	O	O
Cyclooxygenase	cyclooxygenase	O	O	O	O
(	(	O	O	O	O
COX	cox	O	O	O	O
)	)	O	O	O	O
inhibitors	inhibitors	O	O	O	O
are	are	O	O	O	O
one	one	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
most	most	O	O	O	O
often	often	O	O	O	O
ingested	ingested	O	O	O	O
drugs	drugs	O	O	O	O
during	during	O	O	O	O
pregnancy	pregnancy	O	O	O	O
.	.	O	O	O	O

Unlike	unlike	O	O	O	O
general	general	O	O	O	O
toxicity	toxicity	O	DISEASE	OTHERS	I
data	data	O	O	O	O
,	,	O	O	O	O
their	their	O	O	O	O
prenatal	prenatal	O	O	O	O
toxic	toxic	O	O	O	O
effects	effects	O	O	O	O
were	were	O	O	O	O
not	not	O	O	O	O
extensively	extensively	O	O	O	O
studied	studied	O	O	O	O
before	before	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
aim	aim	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
experiment	experiment	O	O	O	O
was	was	O	O	O	O
to	to	O	O	O	O
evaluate	evaluate	O	O	O	O
the	the	O	O	O	O
developmental	developmental	O	O	O	O
toxicity	toxicity	O	DISEASE	OTHERS	I
of	of	O	O	O	O
the	the	O	O	O	O
non-selective	non-selective	O	O	O	O
(	(	O	O	O	O
piroxicam	piroxicam	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
and	and	O	O	O	O
selective	selective	O	O	O	O
(	(	O	O	O	O
DFU	dfu	CHEMICALS	O	OTHERS	I
;	;	O	O	O	O
5,5-dimethyl-3-(3-fluorophenyl)-4-(4-methylsulphonyl	5,5-dimethyl-3-(3-fluorophenyl)-4-(4-methylsulphonyl	CHEMICALS	O	OTHERS	I
