Reversal	reversal	O	O	O	O
by	by	O	O	O	O
phenylephrine	phenylephrine	CHEMICALS	O	OTHERS	I
of	of	O	O	O	O
the	the	O	O	O	O
beneficial	beneficial	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
intravenous	intravenous	O	O	O	O
nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
acute	acute	O	DISEASE	OTHERS	I
myocardial	myocardial	O	DISEASE	OTHERS	I
infarction	infarction	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
has	has	O	O	O	O
been	been	O	O	O	O
shown	shown	O	O	O	O
to	to	O	O	O	O
reduce	reduce	O	O	O	O
ST-segment	st-segment	O	O	O	O
elevation	elevation	O	O	O	O
during	during	O	O	O	O
acute	acute	O	DISEASE	OTHERS	I
myocardial	myocardial	O	DISEASE	OTHERS	I
infarction	infarction	O	DISEASE	OTHERS	I
,	,	O	O	O	O
an	an	O	O	O	O
effect	effect	O	O	O	O
potentiated	potentiated	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
dog	dog	O	O	O	O
by	by	O	O	O	O
agents	agents	O	O	O	O
that	that	O	O	O	O
reverse	reverse	O	O	O	O
nitroglycerin-induced	nitroglycerin-induced	O	O	O	O
hypotension	hypotension	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Our	our	O	O	O	O
study	study	O	O	O	O
was	was	O	O	O	O
designed	designed	O	O	O	O
to	to	O	O	O	O
determine	determine	O	O	O	O
the	the	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
combined	combined	O	O	O	O
nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
phenylephrine	phenylephrine	CHEMICALS	O	OTHERS	I
therapy	therapy	O	O	O	O
.	.	O	O	O	O

Ten	ten	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
acute	acute	O	O	O	O
transmural	transmural	O	O	O	O
myocardial	myocardial	O	DISEASE	OTHERS	I
infarctions	infarctions	O	DISEASE	OTHERS	I
received	received	O	O	O	O
intravenous	intravenous	O	O	O	O
nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
sufficient	sufficient	O	O	O	O
to	to	O	O	O	O
reduce	reduce	O	O	O	O
mean	mean	O	O	O	O
arterial	arterial	O	O	O	O
pressure	pressure	O	O	O	O
from	from	O	O	O	O
107	107	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
6	6	O	O	O	O
to	to	O	O	O	O
85	85	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
6	6	O	O	O	O
mm	mm	O	O	OTHERS	I
Hg	hg	O	O	OTHERS	I
(	(	O	O	O	O
P	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.001	0.001	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
for	for	O	O	O	O
60	60	O	O	O	O
minutes	minutes	O	O	O	O
.	.	O	O	O	O

Left	left	O	O	O	O
ventricular	ventricular	O	O	O	O
