Effects	effects	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
cyclooxygenase-2	cyclooxygenase-2	O	O	O	O
specific	specific	O	O	O	O
inhibitor	inhibitor	O	O	O	O
valdecoxib	valdecoxib	O	O	OTHERS	I
versus	versus	O	O	O	O
nonsteroidal	nonsteroidal	O	O	O	O
antiinflammatory	antiinflammatory	O	O	O	O
agents	agents	O	O	O	O
and	and	O	O	O	O
placebo	placebo	O	O	O	O
on	on	O	O	O	O
cardiovascular	cardiovascular	O	O	O	O
thrombotic	thrombotic	O	DISEASE	OTHERS	I
events	events	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
arthritis	arthritis	O	DISEASE	OTHERS	I
.	.	O	O	O	O

There	there	O	O	O	O
have	have	O	O	O	O
been	been	O	O	O	O
concerns	concerns	O	O	O	O
that	that	O	O	O	O
the	the	O	O	O	O
risk	risk	O	O	O	O
of	of	O	O	O	O
cardiovascular	cardiovascular	O	O	O	O
thrombotic	thrombotic	O	DISEASE	OTHERS	I
events	events	O	O	O	O
may	may	O	O	O	O
be	be	O	O	O	O
higher	higher	O	O	O	O
with	with	O	O	O	O
cyclooxygenase	cyclooxygenase	O	O	O	O
(COX)-2-specific	(cox)-2-specific	O	O	O	O
inhibitors	inhibitors	O	O	O	O
than	than	O	O	O	O
nonselective	nonselective	O	O	O	O
nonsteroidal	nonsteroidal	O	O	O	O
antiinflammatory	antiinflammatory	O	O	O	O
drugs	drugs	O	O	O	O
(	(	O	O	O	O
NSAIDs	nsaids	O	O	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

We	we	O	O	O	O
evaluated	evaluated	O	O	O	O
cardiovascular	cardiovascular	O	O	O	O
event	event	O	O	O	O
data	data	O	O	O	O
for	for	O	O	O	O
valdecoxib	valdecoxib	O	O	OTHERS	I
,	,	O	O	O	O
a	a	O	O	O	O
new	new	O	O	O	O
COX-2-specific	cox-2-specific	O	O	O	O
inhibitor	inhibitor	O	O	O	O
in	in	O	O	O	O
approximately	approximately	O	O	O	O
8000	8000	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
osteoarthritis	osteoarthritis	O	O	OTHERS	I
and	and	O	O	O	O
rheumatoid	rheumatoid	O	DISEASE	OTHERS	I
arthritis	arthritis	O	DISEASE	OTHERS	I
treated	treated	O	O	O	O
with	with	O	O	O	O
this	this	O	O	O	O
agent	agent	O	O	O	O
in	in	O	O	O	O
randomized	randomized	O	O	O	O
clinical	clinical	O	O	O	O
trials	trials	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
incidence	incidence	O	O	O	O
of	of	O	O	O	O
cardiovascular	cardiovascular	O	O	O	O
thrombotic	thrombotic	O	DISEASE	OTHERS	I
events	events	O	O	O	O
(	(	O	O	O	O
cardiac	cardiac	O	O	O	O
,	,	O	O	O	O
cerebrovascular	cerebrovascular	O	O	O	O
and	and	O	O	O	O
peripheral	peripheral	O	O	O	O
vascular	vascular	O	O	O	O
,	,	O	O	O	O
or	or	O	O	O	O
arterial	arterial	O	O	O	O
thrombotic	thrombotic	O	DISEASE	OTHERS	I
)	)	O	O	O	O
was	was	O	O	O	O
determined	determined	O	O	O	O
by	by	O	O	O	O
analyzing	analyzing	O	O	O	O
pooled	pooled	O	O	O	O
valdecoxib	valdecoxib	O	O	OTHERS	I
(	(	O	O	O	O
10	10	O	O	O	O
-	-	O	O	O	O
80	80	O	O	O	O
mg	mg	O	O	OTHERS	I
daily	daily	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
nonselective	nonselective	O	O	O	O
NSAID	nsaid	O	O	OTHERS	I
(	(	O	O	O	O
diclofenac	diclofenac	CHEMICALS	O	OTHERS	I
75	75	O	O	O	O
mg	mg	O	O	OTHERS	I
bid	bid	O	O	O	O
,	,	O	O	O	O
ibuprofen	ibuprofen	CHEMICALS	O	OTHERS	I
800	800	O	O	O	O
mg	mg	O	O	OTHERS	I
tid	tid	O	O	O	O
,	,	O	O	O	O
or	or	O	O	O	O
naproxen	naproxen	O	O	OTHERS	I
500	500	O	O	O	O
mg	mg	O	O	OTHERS	I
bid	bid	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
placebo	placebo	O	O	O	O
data	data	O	O	O	O
from	from	O	O	O	O
10	10	O	O	O	O
randomized	randomized	O	O	O	O
osteoarthritis	osteoarthritis	O	O	OTHERS	I
and	and	O	O	O	O
rheumatoid	rheumatoid	O	DISEASE	OTHERS	I
arthritis	arthritis	O	DISEASE	OTHERS	I
trials	trials	O	O	O	O
that	that	O	O	O	O
were	were	O	O	O	O
6	6	O	O	O	O
-	-	O	O	O	O
52	52	O	O	O	O
weeks	weeks	O	O	O	O
in	in	O	O	O	O
duration	duration	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
incidence	incidence	O	O	O	O
rates	rates	O	O	O	O
of	of	O	O	O	O
events	events	O	O	O	O
were	were	O	O	O	O
