Preservation	preservation	O	O	O	O
of	of	O	O	O	O
renal	renal	O	O	O	O
blood	blood	O	O	O	O
flow	flow	O	O	O	O
during	during	O	O	O	O
hypotension	hypotension	O	DISEASE	OTHERS	I
induced	induced	O	O	O	O
with	with	O	O	O	O
fenoldopam	fenoldopam	O	O	OTHERS	I
in	in	O	O	O	O
dogs	dogs	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
introduction	introduction	O	O	O	O
of	of	O	O	O	O
drugs	drugs	O	O	O	O
that	that	O	O	O	O
could	could	O	O	O	O
induce	induce	O	O	O	O
hypotension	hypotension	O	DISEASE	OTHERS	I
with	with	O	O	O	O
different	different	O	O	O	O
pharmacological	pharmacological	O	O	O	O
actions	actions	O	O	O	O
would	would	O	O	O	O
be	be	O	O	O	O
advantageous	advantageous	O	O	O	O
because	because	O	O	O	O
side	side	O	O	O	O
effects	effects	O	O	O	O
unique	unique	O	O	O	O
to	to	O	O	O	O
a	a	O	O	O	O
specific	specific	O	O	O	O
drug	drug	O	O	O	O
could	could	O	O	O	O
be	be	O	O	O	O
minimized	minimized	O	O	O	O
by	by	O	O	O	O
selecting	selecting	O	O	O	O
appropriate	appropriate	O	O	O	O
therapy	therapy	O	O	O	O
.	.	O	O	O	O

Specific	specific	O	O	O	O
dopamine-1	dopamine-1	O	O	O	O
,	,	O	O	O	O
(	(	O	O	O	O
DA1	da1	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
dopamine-2	dopamine-2	O	O	O	O
(	(	O	O	O	O
DA2	da2	O	O	O	O
)	)	O	O	O	O
receptor	receptor	O	O	O	O
agonists	agonists	O	O	O	O
are	are	O	O	O	O
now	now	O	O	O	O
under	under	O	O	O	O
clinical	clinical	O	O	O	O
investigation	investigation	O	O	O	O
.	.	O	O	O	O

Fenoldopam	fenoldopam	O	O	OTHERS	I
mesylate	mesylate	O	O	OTHERS	I
is	is	O	O	O	O
a	a	O	O	O	O
specific	specific	O	O	O	O
DA1	da1	O	O	O	O
receptor	receptor	O	O	O	O
agonist	agonist	O	O	O	O
that	that	O	O	O	O
lowers	lowers	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
by	by	O	O	O	O
vasodilatation	vasodilatation	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
hypothesis	hypothesis	O	O	O	O
that	that	O	O	O	O
fenoldopam	fenoldopam	O	O	OTHERS	I
could	could	O	O	O	O
be	be	O	O	O	O
used	used	O	O	O	O
to	to	O	O	O	O
induce	induce	O	O	O	O
hypotension	hypotension	O	DISEASE	OTHERS	I
and	and	O	O	O	O
preserve	preserve	O	O	O	O
blood	blood	O	O	O	O
flow	flow	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
kidney	kidney	O	O	O	O
was	was	O	O	O	O
tested	tested	O	O	O	O
.	.	O	O	O	O

Systemic	systemic	O	O	O	O
aortic	aortic	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
and	and	O	O	O	O
renal	renal	O	O	O	O
blood	blood	O	O	O	O
flow	flow	O	O	O	O
were	were	O	O	O	O
measured	measured	O	O	O	O
continuously	continuously	O	O	O	O
with	with	O	O	O	O
a	a	O	O	O	O
carotid	carotid	O	O	O	O
arterial	arterial	O	O	O	O
catheter	catheter	O	O	O	O
and	and	O	O	O	O
an	an	O	O	O	O
electromagnetic	electromagnetic	O	O	O	O
flow	flow	O	O	O	O
probe	probe	O	O	O	O
respectively	respectively	O	O	O	O
,	,	O	O	O	O
in	in	O	O	O	O
order	order	O	O	O	O
to	to	O	O	O	O
compare	compare	O	O	O	O
the	the	O	O	O	O
cardiovascular	cardiovascular	O	O	O	O
and	and	O	O	O	O
renal	renal	O	O	O	O
vascular	vascular	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
fenoldopam	fenoldopam	O	O	OTHERS	I
and	and	O	O	O	O
sodium	sodium	CHEMICALS	O	OTHERS	I
nitroprusside	nitroprusside	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
ten	ten	O	O	O	O
dogs	dogs	O	O	O	O
under	under	O	O	O	O
halothane	halothane	CHEMICALS	O	OTHERS	I
general	general	O	O	O	O
anaesthesia	anaesthesia	O	O	O	O
.	.	O	O	O	O

Mean	mean	O	O	O	O
arterial	arterial	O	O	O	O
pressure	pressure	O	O	O	O
was	was	O	O	O	O
decreased	decreased	O	O	O	O
30	30	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
8	8	O	O	O	O
per	per	O	O	O	O
cent	cent	O	O	O	O
from	from	O	O	O	O
control	control	O	O	O	O
with	with	O	O	O	O
infusion	infusion	O	O	O	O
of	of	O	O	O	O
fenoldopam	fenoldopam	O	O	OTHERS	I
(	(	O	O	O	O
3.4	3.4	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
2.0	2.0	O	O	O	O
micrograms.kg-1.min-1	micrograms.kg-1.min-1	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
34	34	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
4	4	O	O	O	O
per	per	O	O	O	O
cent	cent	O	O	O	O
with	with	O	O	O	O
infusion	infusion	O	O	O	O
of	of	O	O	O	O
sodium	sodium	CHEMICALS	O	OTHERS	I
nitroprusside	nitroprusside	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
5.9	5.9	O	O	O	O
micrograms.kg-1.min-1	micrograms.kg-1.min-1	O	O	O	O
)	)	O	O	O	O
(	(	O	O	O	O
NS	ns	O	O	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

Renal	renal	O	O	O	O
blood	blood	O	O	O	O
flow	flow	O	O	O	O
(	(	O	O	O	O
RBF	rbf	O	O	O	O
)	)	O	O	O	O
increased	increased	O	O	O	O
during	during	O	O	O	O
fenoldopam-induced	fenoldopam-induced	O	O	O	O
hypotension	hypotension	O	DISEASE	OTHERS	I
11	11	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
7	7	O	O	O	O
per	per	O	O	O	O
cent	cent	O	O	O	O
and	and	O	O	O	O
decreased	decreased	O	O	O	O
21	21	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
8	8	O	O	O	O
per	per	O	O	O	O
cent	cent	O	O	O	O
during	during	O	O	O	O
sodium	sodium	CHEMICALS	O	OTHERS	I
nitroprusside-induced	nitroprusside-induced	O	O	O	O
hypotension	hypotension	O	DISEASE	OTHERS	I
(	(	O	O	O	O
P	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.01	0.01	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Sodium	sodium	CHEMICALS	O	OTHERS	I
nitroprusside	nitroprusside	CHEMICALS	O	OTHERS	I
is	is	O	O	O	O
a	a	O	O	O	O
non-selective	non-selective	O	O	O	O
arteriolar	arteriolar	O	O	O	O
and	and	O	O	O	O
venous	venous	O	O	O	O
vasodilator	vasodilator	O	O	O	O
that	that	O	O	O	O
can	can	O	O	O	O
produce	produce	O	O	O	O
redistribution	redistribution	O	O	O	O
of	of	O	O	O	O
blood	blood	O	O	O	O
flow	flow	O	O	O	O
away	away	O	O	O	O
from	from	O	O	O	O
the	the	O	O	O	O
kidney	kidney	O	O	O	O
during	during	O	O	O	O
induced	induced	O	O	O	O
hypotension	hypotension	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Fenoldopam	fenoldopam	O	O	OTHERS	I
is	is	O	O	O	O
a	a	O	O	O	O
selective	selective	O	O	O	O
dopamine-1	dopamine-1	O	O	O	O
(	(	O	O	O	O
DA1	da1	O	O	O	O
)	)	O	O	O	O
receptor	receptor	O	O	O	O
agonist	agonist	O	O	O	O
that	that	O	O	O	O
causes	causes	O	O	O	O
vasodilatation	vasodilatation	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
kidney	kidney	O	O	O	O
and	and	O	O	O	O
other	other	O	O	O	O
organs	organs	O	O	O	O
with	with	O	O	O	O
DA1	da1	O	O	O	O
receptors	receptors	O	O	O	O
and	and	O	O	O	O
preserves	preserves	O	O	O	O
blood	blood	O	O	O	O
flow	flow	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
kidney	kidney	O	O	O	O
during	during	O	O	O	O
induced	induced	O	O	O	O
hypotension	hypotension	O	DISEASE	OTHERS	I
.	.	O	O	O	O

