Comparison	comparison	O	O	O	O
of	of	O	O	O	O
aqueous	aqueous	O	O	O	O
and	and	O	O	O	O
gellan	gellan	O	O	O	O
ophthalmic	ophthalmic	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
with	with	O	O	O	O
placebo	placebo	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
24-hour	24-hour	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
response	response	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
on	on	O	O	O	O
treatment	treatment	O	O	O	O
for	for	O	O	O	O
glaucoma	glaucoma	O	DISEASE	OTHERS	I
.	.	O	O	O	O

PURPOSE	purpose	O	O	O	O
:	:	O	O	O	O
Topical	topical	O	O	O	O
beta-blocker	beta-blocker	O	O	O	O
treatment	treatment	O	O	O	O
is	is	O	O	O	O
routine	routine	O	O	O	O
therapy	therapy	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
management	management	O	O	O	O
of	of	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
glaucoma	glaucoma	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Therapy	therapy	O	O	O	O
results	results	O	O	O	O
in	in	O	O	O	O
systemic	systemic	O	O	O	O
absorption	absorption	O	O	O	O
,	,	O	O	O	O
however	however	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
degree	degree	O	O	O	O
of	of	O	O	O	O
reduction	reduction	O	O	O	O
of	of	O	O	O	O
resting	resting	O	O	O	O
and	and	O	O	O	O
peak	peak	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
has	has	O	O	O	O
not	not	O	O	O	O
been	been	O	O	O	O
quantified	quantified	O	O	O	O
.	.	O	O	O	O

DESIGN	design	O	O	O	O
:	:	O	O	O	O
This	this	O	O	O	O
trial	trial	O	O	O	O
evaluated	evaluated	O	O	O	O
the	the	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
placebo	placebo	O	O	O	O
,	,	O	O	O	O
0.5	0.5	O	O	O	O
%	%	O	O	O	O
aqueous	aqueous	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
solution	solution	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
a	a	O	O	O	O
0.5	0.5	O	O	O	O
%	%	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
suspension	suspension	O	O	O	O
that	that	O	O	O	O
forms	forms	O	O	O	O
a	a	O	O	O	O
gel	gel	O	O	O	O
on	on	O	O	O	O
application	application	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
conjunctiva	conjunctiva	O	O	O	O
(	(	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
gellan	gellan	O	O	O	O
)	)	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
24-hour	24-hour	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
currently	currently	O	O	O	O
being	being	O	O	O	O
treated	treated	O	O	O	O
for	for	O	O	O	O
glaucoma	glaucoma	O	DISEASE	OTHERS	I
to	to	O	O	O	O
quantify	quantify	O	O	O	O
the	the	O	O	O	O
reduction	reduction	O	O	O	O
in	in	O	O	O	O
mean	mean	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
.	.	O	O	O	O

METHODS	methods	O	O	O	O
:	:	O	O	O	O
Forty-three	forty-three	O	O	O	O
Caucasian	caucasian	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
primary	primary	O	O	O	O
open-angle	open-angle	O	O	O	O
glaucoma	glaucoma	O	DISEASE	OTHERS	I
or	or	O	O	O	O
ocular	ocular	O	DISEASE	OTHERS	I
hypertension	hypertension	O	DISEASE	OTHERS	I
with	with	O	O	O	O
a	a	O	O	O	O
mean	mean	O	O	O	O
(	(	O	O	O	O
+	+	O	O	O	O
/-SD	/-sd	O	O	O	O
)	)	O	O	O	O
age	age	O	O	O	O
of	of	O	O	O	O
63	63	O	O	O	O
(	(	O	O	O	O
+	+	O	O	O	O
/-8	/-8	O	O	O	O
)	)	O	O	O	O
years	years	O	O	O	O
were	were	O	O	O	O
randomized	randomized	O	O	O	O
and	and	O	O	O	O
crossed	crossed	O	O	O	O
over	over	O	O	O	O
in	in	O	O	O	O
a	a	O	O	O	O
double-masked	double-masked	O	O	O	O
manner	manner	O	O	O	O
to	to	O	O	O	O
14	14	O	O	O	O
days	days	O	O	O	O
of	of	O	O	O	O
treatment	treatment	O	O	O	O
with	with	O	O	O	O
placebo	placebo	O	O	O	O
(	(	O	O	O	O
morning	morning	O	O	O	O
and	and	O	O	O	O
evening	evening	O	O	O	O
in	in	O	O	O	O
both	both	O	O	O	O
eyes	eyes	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
solution	solution	O	O	O	O
(	(	O	O	O	O
morning	morning	O	O	O	O
and	and	O	O	O	O
evening	evening	O	O	O	O
in	in	O	O	O	O
both	both	O	O	O	O
eyes	eyes	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
or	or	O	O	O	O
timolol	timolol	CHEMICALS	O	OTHERS	I
gellan	gellan	O	O	O	O
(	(	O	O	O	O
morning	morning	O	O	O	O
in	in	O	O	O	O
both	both	O	O	O	O
eyes	eyes	O	O	O	O
