Effects	effects	O	O	O	O
of	of	O	O	O	O
acute	acute	O	O	O	O
steroid	steroid	CHEMICALS	O	OTHERS	I
administration	administration	O	O	O	O
on	on	O	O	O	O
ventilatory	ventilatory	O	O	O	O
and	and	O	O	O	O
peripheral	peripheral	O	O	O	O
muscles	muscles	O	O	O	O
in	in	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

Occasional	occasional	O	O	O	O
case	case	O	O	O	O
reports	reports	O	O	O	O
have	have	O	O	O	O
shown	shown	O	O	O	O
that	that	O	O	O	O
acute	acute	O	O	O	O
myopathy	myopathy	O	DISEASE	OTHERS	I
may	may	O	O	O	O
occur	occur	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
massive	massive	O	O	O	O
doses	doses	O	O	O	O
of	of	O	O	O	O
corticosteroids	corticosteroids	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

The	the	O	O	O	O
mechanism	mechanism	O	O	O	O
of	of	O	O	O	O
this	this	O	O	O	O
myopathy	myopathy	O	DISEASE	OTHERS	I
is	is	O	O	O	O
poorly	poorly	O	O	O	O
understood	understood	O	O	O	O
.	.	O	O	O	O

Therefore	therefore	O	O	O	O
,	,	O	O	O	O
60	60	O	O	O	O
male	male	O	O	O	O
rats	rats	O	O	O	O
were	were	O	O	O	O
randomly	randomly	O	O	O	O
assigned	assigned	O	O	O	O
to	to	O	O	O	O
receive	receive	O	O	O	O
daily	daily	O	O	O	O
injection	injection	O	O	O	O
of	of	O	O	O	O
saline	saline	O	O	O	O
(	(	O	O	O	O
C	c	O	O	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
methylprednisolone	methylprednisolone	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
M	m	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
or	or	O	O	O	O
triamcinolone	triamcinolone	O	O	OTHERS	I
(	(	O	O	O	O
T	t	O	O	O	O
)	)	O	O	O	O
80	80	O	O	O	O
mg/kg/d	mg/kg/d	O	O	O	O
for	for	O	O	O	O
5	5	O	O	O	O
d.	d.	O	O	O	O
Nutritional	nutritional	O	O	O	O
intake	intake	O	O	O	O
,	,	O	O	O	O
measured	measured	O	O	O	O
daily	daily	O	O	O	O
in	in	O	O	O	O
15	15	O	O	O	O
animals	animals	O	O	O	O
,	,	O	O	O	O
showed	showed	O	O	O	O
a	a	O	O	O	O
significant	significant	O	O	O	O
