Pharmacological	pharmacological	O	O	O	O
evidence	evidence	O	O	O	O
for	for	O	O	O	O
the	the	O	O	O	O
potential	potential	O	O	O	O
of	of	O	O	O	O
Daucus	daucus	O	O	O	O
carota	carota	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
management	management	O	O	O	O
of	of	O	O	O	O
cognitive	cognitive	O	DISEASE	OTHERS	I
dysfunctions	dysfunctions	O	DISEASE	OTHERS	I
.	.	O	O	O	O

The	the	O	O	O	O
present	present	O	O	O	O
study	study	O	O	O	O
was	was	O	O	O	O
aimed	aimed	O	O	O	O
at	at	O	O	O	O
investigating	investigating	O	O	O	O
the	the	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
Daucus	daucus	O	O	O	O
carota	carota	O	O	O	O
seeds	seeds	O	O	O	O
on	on	O	O	O	O
cognitive	cognitive	O	O	O	O
functions	functions	O	O	O	O
,	,	O	O	O	O
total	total	O	O	O	O
serum	serum	O	O	O	O
cholesterol	cholesterol	CHEMICALS	O	OTHERS	I
levels	levels	O	O	O	O
and	and	O	O	O	O
brain	brain	O	O	O	O
cholinesterase	cholinesterase	O	O	O	O
activity	activity	O	O	O	O
in	in	O	O	O	O
mice	mice	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
ethanolic	ethanolic	O	O	O	O
extract	extract	O	O	OTHERS	I
of	of	O	O	OTHERS	I
Daucus	daucus	O	O	OTHERS	I
carota	carota	O	O	OTHERS	I
seeds	seeds	O	O	OTHERS	I
(	(	O	O	O	O
DCE	dce	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
was	was	O	O	O	O
administered	administered	O	O	O	O
orally	orally	O	O	O	O
in	in	O	O	O	O
three	three	O	O	O	O
doses	doses	O	O	O	O
(	(	O	O	O	O
100	100	O	O	O	O
,	,	O	O	O	O
200	200	O	O	O	O
,	,	O	O	O	O
400	400	O	O	O	O
mg/kg	mg/kg	O	O	O	O
)	)	O	O	O	O
for	for	O	O	O	O
seven	seven	O	O	O	O
successive	successive	O	O	O	O
days	days	O	O	O	O
to	to	O	O	O	O
different	different	O	O	O	O
groups	groups	O	O	O	O
of	of	O	O	O	O
young	young	O	O	O	O
and	and	O	O	O	O
aged	aged	O	O	O	O
mice	mice	O	O	O	O
.	.	O	O	O	O

Elevated	elevated	O	O	O	O
plus	plus	O	O	O	O
maze	maze	O	O	O	O
and	and	O	O	O	O
passive	passive	O	O	O	O
avoidance	avoidance	O	O	O	O
apparatus	apparatus	O	O	O	O
served	served	O	O	O	O
as	as	O	O	O	O
the	the	O	O	O	O
exteroceptive	exteroceptive	O	O	O	O
behavioral	behavioral	O	O	O	O
models	models	O	O	O	O
for	for	O	O	O	O
testing	testing	O	O	O	O
memory	memory	O	O	O	O
.	.	O	O	O	O

Diazepam-	diazepam-	O	O	O	O
,	,	O	O	O	O
scopolamine-	scopolamine-	O	O	O	O
and	and	O	O	O	O
ageing-induced	ageing-induced	O	O	O	O
amnesia	amnesia	O	DISEASE	OTHERS	I
served	served	O	O	O	O
as	as	O	O	O	O
the	the	O	O	O	O
interoceptive	interoceptive	O	O	O	O
behavioral	behavioral	O	O	O	O
models	models	O	O	O	O
.	.	O	O	O	O

DCE	dce	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
200	200	O	O	O	O
,	,	O	O	O	O
400	400	O	O	O	O
mg/kg	mg/kg	O	O	O	O
,	,	O	O	O	O
p.o	p.o	O	O	O	O
.	.	O	O	O	O
)	)	O	O	O	O
showed	showed	O	O	O	O
significant	significant	O	O	O	O
improvement	improvement	O	O	O	O
in	in	O	O	O	O
memory	memory	O	O	O	O
scores	scores	O	O	O	O
of	of	O	O	O	O
young	young	O	O	O	O
and	and	O	O	O	O
aged	aged	O	O	O	O
mice	mice	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
extent	extent	O	O	O	O
of	of	O	O	O	O
memory	memory	O	O	O	O
improvement	improvement	O	O	O	O
evoked	evoked	O	O	O	O
by	by	O	O	O	O
DCE	dce	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
23	23	O	O	O	O
%	%	O	O	O	O
at	at	O	O	O	O
the	the	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
200	200	O	O	O	O
mg/kg	mg/kg	O	O	O	O
and	and	O	O	O	O
35	35	O	O	O	O
%	%	O	O	O	O
at	at	O	O	O	O
the	the	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
400	400	O	O	O	O
mg/kg	mg/kg	O	O	O	O
in	in	O	O	O	O
young	young	O	O	O	O
mice	mice	O	O	O	O
using	using	O	O	O	O
elevated	elevated	O	O	O	O
plus	plus	O	O	O	O
maze	maze	O	O	O	O
.	.	O	O	O	O

Similarly	similarly	O	O	O	O
,	,	O	O	O	O
significant	significant	O	O	O	O
improvements	improvements	O	O	O	O
in	in	O	O	O	O
memory	memory	O	O	O	O
scores	scores	O	O	O	O
were	were	O	O	O	O
observed	observed	O	O	O	O
using	using	O	O	O	O
passive	passive	O	O	O	O
avoidance	avoidance	O	O	O	O
apparatus	apparatus	O	O	O	O
and	and	O	O	O	O
aged	aged	O	O	O	O
mice	mice	O	O	O	O
.	.	O	O	O	O

Furthermore	furthermore	O	O	O	O
,	,	O	O	O	O
DCE	dce	CHEMICALS	O	OTHERS	I
reversed	reversed	O	O	O	O
the	the	O	O	O	O
amnesia	amnesia	O	DISEASE	OTHERS	I
induced	induced	O	O	O	O
by	by	O	O	O	O
scopolamine	scopolamine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
0.4	0.4	O	O	O	O
mg/kg	mg/kg	O	O	O	O
,	,	O	O	O	O
i.p	i.p	O	O	O	O
.	.	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
diazepam	diazepam	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
1	1	O	O	O	O
mg/kg	mg/kg	O	O	O	O
,	,	O	O	O	O
i.p	i.p	O	O	O	O
.	.	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Daucus	daucus	O	O	OTHERS	I
carota	carota	O	O	OTHERS	I
extract	extract	O	O	OTHERS	I
