Effects	effects	O	O
of	of	O	O
the	the	O	O
cyclooxygenase-2	cyclooxygenase-2	O	O
specific	specific	O	O
inhibitor	inhibitor	O	O
valdecoxib	valdecoxib	O	O
versus	versus	O	O
nonsteroidal	nonsteroidal	O	O
antiinflammatory	antiinflammatory	O	O
agents	agents	O	O
and	and	O	O
placebo	placebo	O	O
on	on	O	O
cardiovascular	cardiovascular	O	O
thrombotic	thrombotic	O	S_disease
events	events	O	O
in	in	O	O
patients	patients	O	O
with	with	O	O
arthritis	arthritis	O	S_disease
.	.	O	O

There	there	O	O
have	have	O	O
been	been	O	O
concerns	concerns	O	O
that	that	O	O
the	the	O	O
risk	risk	O	O
of	of	O	O
cardiovascular	cardiovascular	O	O
thrombotic	thrombotic	O	S_disease
events	events	O	O
may	may	O	O
be	be	O	O
higher	higher	O	O
with	with	O	O
cyclooxygenase	cyclooxygenase	O	O
(COX)-2-specific	(cox)-2-specific	O	O
inhibitors	inhibitors	O	O
than	than	O	O
nonselective	nonselective	O	O
nonsteroidal	nonsteroidal	O	O
antiinflammatory	antiinflammatory	O	O
drugs	drugs	O	O
(	(	O	O
NSAIDs	nsaids	O	O
)	)	O	O
.	.	O	O

We	we	O	O
evaluated	evaluated	O	O
cardiovascular	cardiovascular	O	O
event	event	O	O
data	data	O	O
for	for	O	O
valdecoxib	valdecoxib	O	O
,	,	O	O
a	a	O	O
new	new	O	O
COX-2-specific	cox-2-specific	O	O
inhibitor	inhibitor	O	O
in	in	O	O
approximately	approximately	O	O
8000	8000	O	O
patients	patients	O	O
with	with	O	O
osteoarthritis	osteoarthritis	O	O
and	and	O	O
rheumatoid	rheumatoid	O	B_disease
arthritis	arthritis	O	S_disease
treated	treated	O	O
with	with	O	O
this	this	O	O
agent	agent	O	O
in	in	O	O
randomized	randomized	O	O
clinical	clinical	O	O
trials	trials	O	O
.	.	O	O

The	the	O	O
incidence	incidence	O	O
of	of	O	O
cardiovascular	cardiovascular	O	O
thrombotic	thrombotic	O	S_disease
events	events	O	O
(	(	O	O
cardiac	cardiac	O	O
,	,	O	O
cerebrovascular	cerebrovascular	O	O
and	and	O	O
peripheral	peripheral	O	O
vascular	vascular	O	O
,	,	O	O
or	or	O	O
arterial	arterial	O	O
thrombotic	thrombotic	O	S_disease
)	)	O	O
was	was	O	O
determined	determined	O	O
by	by	O	O
analyzing	analyzing	O	O
pooled	pooled	O	O
valdecoxib	valdecoxib	O	O
(	(	O	O
10	10	O	O
-	-	O	O
80	80	O	O
mg	mg	O	O
daily	daily	O	O
)	)	O	O
,	,	O	O
nonselective	nonselective	O	O
NSAID	nsaid	O	O
(	(	O	O
diclofenac	diclofenac	S_chemical	O
75	75	O	O
mg	mg	O	O
bid	bid	O	O
,	,	O	O
ibuprofen	ibuprofen	S_chemical	O
800	800	O	O
mg	mg	O	O
tid	tid	O	O
,	,	O	O
or	or	O	O
naproxen	naproxen	O	O
500	500	O	O
mg	mg	O	O
bid	bid	O	O
)	)	O	O
and	and	O	O
placebo	placebo	O	O
data	data	O	O
from	from	O	O
10	10	O	O
randomized	randomized	O	O
osteoarthritis	osteoarthritis	O	O
and	and	O	O
rheumatoid	rheumatoid	O	B_disease
arthritis	arthritis	O	S_disease
trials	trials	O	O
that	that	O	O
