Absence	absence	O	O
of	of	O	O
effect	effect	O	O
of	of	O	O
sertraline	sertraline	S_chemical	O
on	on	O	O
time-based	time-based	O	O
sensitization	sensitization	O	O
of	of	O	O
cognitive	cognitive	O	B_disease
impairment	impairment	O	I_disease
with	with	O	O
haloperidol	haloperidol	S_chemical	O
.	.	O	O

This	this	O	O
double-blind	double-blind	O	O
,	,	O	O
randomized	randomized	O	O
,	,	O	O
placebo-controlled	placebo-controlled	O	O
study	study	O	O
evaluated	evaluated	O	O
the	the	O	O
effects	effects	O	O
of	of	O	O
haloperidol	haloperidol	S_chemical	O
alone	alone	O	O
and	and	O	O
haloperidol	haloperidol	S_chemical	O
plus	plus	O	O
sertraline	sertraline	S_chemical	O
on	on	O	O
cognitive	cognitive	O	O
and	and	O	O
psychomotor	psychomotor	O	O
function	function	O	O
in	in	O	O
24	24	O	O
healthy	healthy	O	O
male	male	O	O
subjects	subjects	O	O
.	.	O	O

METHOD	method	O	O
:	:	O	O
All	all	O	O
subjects	subjects	O	O
received	received	O	O
placebo	placebo	O	O
on	on	O	O
Day	day	O	O
1	1	O	O
and	and	O	O
haloperidol	haloperidol	S_chemical	O
2	2	O	O
mg	mg	O	O
on	on	O	O
Days	days	O	O
2	2	O	O
and	and	O	O
25	25	O	O
.	.	O	O

From	from	O	O
Days	days	O	O
9	9	O	O
to	to	O	O
25	25	O	O
,	,	O	O
subjects	subjects	O	O
were	were	O	O
randomly	randomly	O	O
assigned	assigned	O	O
to	to	O	O
either	either	O	O
sertraline	sertraline	S_chemical	O
(	(	O	O
12	12	O	O
subjects	subjects	O	O
)	)	O	O
or	or	O	O
placebo	placebo	O	O
(	(	O	O
12	12	O	O
subjects	subjects	O	O
)	)	O	O
;	;	O	O
the	the	O	O
sertraline	sertraline	S_chemical	O
dose	dose	O	O
was	was	O	O
titrated	titrated	O	O
from	from	O	O
50	50	O	O
to	to	O	O
200	200	O	O
mg/day	mg/day	O	O
from	from	O	O
Days	days	O	O
9	9	O	O
to	to	O	O
16	16	O	O
,	,	O	O
and	and	O	O
remained	remained	O	O
at	at	O	O
200	200	O	O
mg/day	mg/day	O	O
for	for	O	O
the	the	O	O
final	final	O	O
10	10	O	O
days	days	O	O
of	of	O	O
the	the	O	O
drug	drug	O	O
administration	administration	O	O
period	period	O	O
.	.	O	O

Cognitive	cognitive	O	O
function	function	O	O
testing	testing	O	O
was	was	O	O
performed	performed	O	O
before	before	O	O
dosing	dosing	O	O
and	and	O	O
over	over	O	O
a	a	O	O
24-hour	24-hour	O	O
period	period	O	O
after	after	O	O
dosing	dosing	O	O
on	on	O	O
Days	days	O	O
1	1	O	O
,	,	O	O
2	2	O	O
,	,	O	O
and	and	O	O
25	25	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
Impairment	impairment	O	O
of	of	O	O
cognitive	cognitive	O	O
function	function	O	O
was	was	O	O
observed	observed	O	O
6	6	O	O
to	to	O	O
8	8	O	O
hours	hours	O	O
after	after	O	O
administration	administration	O	O
of	of	O	O
haloperidol	haloperidol	S_chemical	O
on	on	O	O
Day	day	O	O
2	2	O	O
but	but	O	O
was	was	O	O
not	not	O	O
evident	evident	O	O
23	23	O	O
hours	hours	O	O
after	after	O	O
dosing	dosing	O	O
.	.	O	O

When	when	O	O
single-dose	single-dose	O	O
haloperidol	haloperidol	S_chemical	O
was	was	O	O
given	given	O	O
again	again	O	O
25	25	O	O
days	days	O	O
later	later	O	O
,	,	O	O
greater	greater	O	O
impairment	impairment	O	O
with	with	O	O
earlier	earlier	O	O
onset	onset	O	O
was	was	O	O
noted	noted	O	O
in	in	O	O
several	several	O	O
tests	tests	O	O
in	in	O	O
both	both	O	O
treatment	treatment	O	O
groups	groups	O	O
,	,	O	O
suggesting	suggesting	O	O
enhancement	enhancement	O	O
of	of	O	O
this	this	O	O
effect	effect	O	O
.	.	O	O

There	there	O	O
was	was	O	O
no	no	O	O
indication	indication	O	O
that	that	O	O
sertraline	sertraline	S_chemical	O
exacerbated	exacerbated	O	O
the	the	O	O
impairment	impairment	O	O
produced	produced	O	O
by	by	O	O
haloperidol	haloperidol	S_chemical	O
since	since	O	O
an	an	O	O
equivalent	equivalent	O	O
effect	effect	O	O
also	also	O	O
occurred	occurred	O	O
in	in	O	O
the	the	O	O
placebo	placebo	O	O
group	group	O	O
