Effects	effects	O	O
of	of	O	O
verapamil	verapamil	S_chemical	O
on	on	O	O
atrial	atrial	O	B_disease
fibrillation	fibrillation	O	I_disease
and	and	O	O
its	its	O	O
electrophysiological	electrophysiological	O	O
determinants	determinants	O	O
in	in	O	O
dogs	dogs	O	O
.	.	O	O

BACKGROUND	background	O	O
:	:	O	O
Atrial	atrial	O	O
tachycardia-induced	tachycardia-induced	O	O
remodeling	remodeling	O	O
promotes	promotes	O	O
the	the	O	O
occurrence	occurrence	O	O
and	and	O	O
maintenance	maintenance	O	O
of	of	O	O
atrial	atrial	O	B_disease
fibrillation	fibrillation	O	I_disease
(	(	O	O
AF	af	O	O
)	)	O	O
and	and	O	O
decreases	decreases	O	O
L-type	l-type	O	O
Ca(2	ca(2	O	O
+	+	O	O
)	)	O	O
current	current	O	O
.	.	O	O

There	there	O	O
is	is	O	O
also	also	O	O
a	a	O	O
clinical	clinical	O	O
suggestion	suggestion	O	O
that	that	O	O
acute	acute	O	O
L-type	l-type	O	O
Ca(2	ca(2	O	O
)	)	O	O
channel	channel	O	O
blockade	blockade	O	O
can	can	O	O
promote	promote	O	O
AF	af	O	O
,	,	O	O
consistent	consistent	O	O
with	with	O	O
an	an	O	O
AF	af	O	O
promoting	promoting	O	O
effect	effect	O	O
of	of	O	O
Ca(2	ca(2	O	O
+	+	O	O
)	)	O	O
channel	channel	O	O
inhibition	inhibition	O	O
.	.	O	O

METHODS	methods	O	O
:	:	O	O
To	to	O	O
evaluate	evaluate	O	O
the	the	O	O
potential	potential	O	O
mechanisms	mechanisms	O	O
of	of	O	O
AF	af	O	O
promotion	promotion	O	O
by	by	O	O
Ca(2	ca(2	O	O
+	+	O	O
)	)	O	O
channel	channel	O	O
blockers	blockers	O	O
,	,	O	O
we	we	O	O
administered	administered	O	O
verapamil	verapamil	S_chemical	O
to	to	O	O
morphine-chloralose	morphine-chloralose	O	O
anesthetized	anesthetized	O	O
dogs	dogs	O	O
.	.	O	O

Diltiazem	diltiazem	S_chemical	O
was	was	O	O
used	used	O	O
as	as	O	O
a	a	O	O
comparison	comparison	O	O
drug	drug	O	O
and	and	O	O
autonomic	autonomic	O	O
blockade	blockade	O	O
with	with	O	O
atropine	atropine	S_chemical	O
and	and	O	O
nadolol	nadolol	O	O
was	was	O	O
applied	applied	O	O
in	in	O	O
some	some	O	O
experiments	experiments	O	O
.	.	O	O

Epicardial	epicardial	O	O
mapping	mapping	O	O
with	with	O	O
240	240	O	O
epicardial	epicardial	O	O
electrodes	electrodes	O	O
was	was	O	O
used	used	O	O
to	to	O	O
evaluate	evaluate	O	O
activation	activation	O	O
during	during	O	O
AF	af	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
Verapamil	verapamil	S_chemical	O
caused	caused	O	O
AF	af	O	O
promotion	promotion	O	O
in	in	O	O
six	six	O	O
dogs	dogs	O	O
,	,	O	O
increasing	increasing	O	O
mean	mean	O	O
duration	duration	O	O
of	of	O	O
AF	af	O	O
induced	induced	O	O
by	by	O	O
burst	burst	O	O
pacing	pacing	O	O
,	,	O	O
from	from	O	O
8+/-4	8+/-4	O	O
s	s	O	O
(	(	O	O
mean+/-S.E.	mean+/-s.e.	O	O
)	)	O	O
to	to	O	O
95+/-39	95+/-39	O	O
s	s	O	O
(	(	O	O
P<0.01	p<0.01	O	O
vs.	vs.	O	O
control	control	O	O
)	)	O	O
at	at	O	O
a	a	O	O
loading	loading	O	O
dose	dose	O	O
of	of	O	O
0.1	0.1	O	O
mg/kg	mg/kg	O	O
and	and	O	O
228+/-101	228+/-101	O	O
s	s	O	O
(	(	O	O
P<0.0005	p<0.0005	O	O
vs.	vs.	O	O
control	control	O	O
)	)	O	O
at	at	O	O
a	a	O	O
dose	dose	O	O
of	of	O	O
0.2	0.2	O	O
mg/kg	mg/kg	O	O
.	.	O	O

Underlying	underlying	O	O
electrophysiological	electrophysiological	O	O
mechanisms	mechanisms	O	O
were	were	O	O
studied	studied	O	O
in	in	O	O
detail	detail	O	O
in	in	O	O
five	five	O	O
additional	additional	O	O
dogs	dogs	O	O
under	under	O	O
control	control	O	O
conditions	conditions	O	O
and	and	O	O
in	in	O	O
the	the	O	O
presence	presence	O	O
of	of	O	O
the	the	O	O
higher	higher	O	O
dose	dose	O	O
of	of	O	O
verapamil	verapamil	S_chemical	O
.	.	O	O

In	in	O	O
these	these	O	O
experiments	experiments	O	O
,	,	O	O
verapamil	verapamil	S_chemical	O
shortened	shortened	O	O
mean	mean	O	O
effective	effective	O	O
refractory	refractory	O	O
period	period	O	O
(	(	O	O
ERP	erp	O	O
)	)	O	O
from	from	O	O
122+/-5	122+/-5	O	O
to	to	O	O
114+/-4	114+/-4	O	O
ms	ms	O	S_disease
(	(	O	O
P<0.02	p<0.02	O	O
)	)	O	O
at	at	O	O
a	a	O	O
cycle	cycle	O	O
length	length	O	O
of	of	O	O
300	300	O	O
ms	ms	O	S_disease
,	,	O	O
decreased	decreased	O	O
ERP	erp	O	O
heterogeneity	heterogeneity	O	O
(	(	O	O
from	from	O	O
15+/-1	15+/-1	O	O
to	to	O	O
10+/-1	10+/-1	O	O
%	%	O	O
,	,	O	O
P<0.05	p<0.05	O	O
)	)	O	O
,	,	O	O
heterogeneously	heterogeneously	O	O
accelerated	accelerated	O	O
atrial	atrial	O	O
conduction	conduction	O	O
and	and	O	O
decreased	decreased	O	O
the	the	O	O
cycle	cycle	O	O
length	length	O	O
of	of	O	O
AF	af	O	O
(	(	O	O
94+/-4	94+/-4	O	O
to	to	O	O
84+/-3	84+/-3	O	O
ms	ms	O	S_disease
,	,	O	O
P<0.005	p<0.005	O	O
)	)	O	O
.	.	O	O

Diltiazem	diltiazem	S_chemical	O
did	did	O	O
not	not	O	O
affect	affect	O	O
ERP	erp	O	O
,	,	O	O
AF	af	O	O
cycle	cycle	O	O
length	length	O	O
or	or	O	O
AF	af	O	O
duration	duration	O	O
,	,	O	O
but	but	O	O
produced	produced	O	O
conduction	conduction	O	O
acceleration	acceleration	O	O
similar	similar	O	O
to	to	O	O
that	that	O	O
caused	caused	O	O
by	by	O	O
verapamil	verapamil	S_chemical	O
(	(	O	O
n=5	n=5	O	O
)	)	O	O
.	.	O	O

In	in	O	O
the	the	O	O
presence	presence	O	O
of	of	O	O
autonomic	autonomic	O	O
blockade	blockade	O	O
,	,	O	O
verapamil	verapamil	S_chemical	O
failed	failed	O	O
to	to	O	O
promote	promote	O	O
AF	af	O	O
and	and	O	O
increased	increased	O	O
,	,	O	O
rather	rather	O	O
than	than	O	O
decreasing	decreasing	O	O
,	,	O	O
refractoriness	refractoriness	O	O
.	.	O	O

Neither	neither	O	O
verapamil	verapamil	S_chemical	O
nor	nor	O	O
diltiazem	diltiazem	S_chemical	O
affected	affected	O	O
atrial	atrial	O	O
conduction	conduction	O	O
in	in	O	O
the	the	O	O
presence	presence	O	O
of	of	O	O
autonomic	autonomic	O	O
blockade	blockade	O	O
.	.	O	O

Epicardial	epicardial	O	O
mapping	mapping	O	O
suggested	suggested	O	O
that	that	O	O
verapamil	verapamil	S_chemical	O
promoted	promoted	O	O
AF	af	O	O
by	by	O	O
increasing	increasing	O	O
the	the	O	O
number	number	O	O
of	of	O	O
simultaneous	simultaneous	O	O
wavefronts	wavefronts	O	O
reflected	reflected	O	O
by	by	O	O
separate	separate	O	O
zones	zones	O	O
of	of	O	O
reactivation	reactivation	O	O
in	in	O	O
each	each	O	O
cycle	cycle	O	O
.	.	O	O

CONCLUSIONS	conclusions	O	O
:	:	O	O
Verapamil	verapamil	S_chemical	O
promotes	promotes	O	O
AF	af	O	O
in	in	O	O
normal	normal	O	O
dogs	dogs	O	O
by	by	O	O
promoting	promoting	O	O
multiple	multiple	O	O
circuit	circuit	O	O
reentry	reentry	O	O
,	,	O	O
an	an	O	O
effect	effect	O	O
dependent	dependent	O	O
on	on	O	O
intact	intact	O	O
autonomic	autonomic	O	O
tone	tone	O	O
and	and	O	O
not	not	O	O
shared	shared	O	O
by	by	O	O
diltiazem	diltiazem	S_chemical	O
.	.	O	O

