Effect	effect	O	O
of	of	O	O
intravenous	intravenous	O	O
nimodipine	nimodipine	S_chemical	O
on	on	O	O
blood	blood	O	O
pressure	pressure	O	O
and	and	O	O
outcome	outcome	O	O
after	after	O	O
acute	acute	O	O
stroke	stroke	O	S_disease
.	.	O	O

BACKGROUND	background	O	O
AND	and	O	O
PURPOSE	purpose	O	O
:	:	O	O
The	the	O	O
Intravenous	intravenous	O	O
Nimodipine	nimodipine	S_chemical	O
West	west	O	O
European	european	O	O
Stroke	stroke	O	S_disease
Trial	trial	O	O
(	(	O	O
INWEST	inwest	O	O
)	)	O	O
found	found	O	O
a	a	O	O
correlation	correlation	O	O
between	between	O	O
nimodipine-induced	nimodipine-induced	O	O
reduction	reduction	O	O
in	in	O	O
blood	blood	O	O
pressure	pressure	O	O
(	(	O	O
BP	bp	O	O
)	)	O	O
and	and	O	O
an	an	O	O
unfavorable	unfavorable	O	O
outcome	outcome	O	O
in	in	O	O
acute	acute	O	O
stroke	stroke	O	S_disease
.	.	O	O

We	we	O	O
sought	sought	O	O
to	to	O	O
confirm	confirm	O	O
this	this	O	O
correlation	correlation	O	O
with	with	O	O
and	and	O	O
without	without	O	O
adjustment	adjustment	O	O
for	for	O	O
prognostic	prognostic	O	O
variables	variables	O	O
and	and	O	O
to	to	O	O
investigate	investigate	O	O
outcome	outcome	O	O
in	in	O	O
subgroups	subgroups	O	O
with	with	O	O
increasing	increasing	O	O
levels	levels	O	O
of	of	O	O
BP	bp	O	O
reduction	reduction	O	O
.	.	O	O

METHODS	methods	O	O
:	:	O	O
Patients	patients	O	O
with	with	O	O
a	a	O	O
clinical	clinical	O	O
diagnosis	diagnosis	O	O
of	of	O	O
ischemic	ischemic	O	B_disease
stroke	stroke	O	S_disease
(	(	O	O
within	within	O	O
24	24	O	O
hours	hours	O	O
)	)	O	O
were	were	O	O
consecutively	consecutively	O	O
allocated	allocated	O	O
to	to	O	O
receive	receive	O	O
placebo	placebo	O	O
(	(	O	O
n=100	n=100	O	O
)	)	O	O
,	,	O	O
1	1	O	O
mg/h	mg/h	O	O
(	(	O	O
low-dose	low-dose	O	O
)	)	O	O
nimodipine	nimodipine	S_chemical	O
(	(	O	O
n=101	n=101	O	O
)	)	O	O
,	,	O	O
or	or	O	O
2	2	O	O
mg/h	mg/h	O	O
(	(	O	O
high-dose	high-dose	O	O
)	)	O	O
