Evidence	evidence	O	O
for	for	O	O
an	an	O	O
involvement	involvement	O	O
of	of	O	O
D1	d1	O	O
and	and	O	O
D2	d2	O	O
dopamine	dopamine	S_chemical	O
receptors	receptors	O	O
in	in	O	O
mediating	mediating	O	O
nicotine-induced	nicotine-induced	O	O
hyperactivity	hyperactivity	O	S_disease
in	in	O	O
rats	rats	O	O
.	.	O	O

Previous	previous	O	O
studies	studies	O	O
have	have	O	O
suggested	suggested	O	O
that	that	O	O
repeated	repeated	O	O
exposure	exposure	O	O
of	of	O	O
rats	rats	O	O
to	to	O	O
the	the	O	O
drug	drug	O	O
or	or	O	O
to	to	O	O
the	the	O	O
experimental	experimental	O	O
environment	environment	O	O
is	is	O	O
necessary	necessary	O	O
to	to	O	O
observe	observe	O	O
nicotine-induced	nicotine-induced	O	O
locomotor	locomotor	O	O
stimulation	stimulation	O	O
.	.	O	O

In	in	O	O
the	the	O	O
present	present	O	O
study	study	O	O
the	the	O	O
role	role	O	O
of	of	O	O
habituation	habituation	O	O
to	to	O	O
the	the	O	O
experimental	experimental	O	O
environment	environment	O	O
on	on	O	O
the	the	O	O
stimulant	stimulant	O	O
effect	effect	O	O
of	of	O	O
nicotine	nicotine	S_chemical	O
in	in	O	O
rats	rats	O	O
was	was	O	O
examined	examined	O	O
.	.	O	O

In	in	O	O
addition	addition	O	O
,	,	O	O
the	the	O	O
role	role	O	O
of	of	O	O
dopamine	dopamine	S_chemical	O
receptors	receptors	O	O
in	in	O	O
mediating	mediating	O	O
nicotine-induced	nicotine-induced	O	O
locomotor	locomotor	O	O
stimulation	stimulation	O	O
was	was	O	O
investigated	investigated	O	O
by	by	O	O
examining	examining	O	O
the	the	O	O
effects	effects	O	O
of	of	O	O
selective	selective	O	O
D1	d1	O	O
and	and	O	O
D2	d2	O	O
dopamine	dopamine	B_chemical	O
receptor	receptor	I_chemical	O
antagonists	antagonists	I_chemical	O
on	on	O	O
activity	activity	O	O
induced	induced	O	O
by	by	O	O
nicotine	nicotine	S_chemical	O
.	.	O	O

Locomotor	locomotor	O	O
activity	activity	O	O
was	was	O	O
assessed	assessed	O	O
in	in	O	O
male	male	O	O
Sprague-Dawley	sprague-dawley	O	O
rats	rats	O	O
tested	tested	O	O
in	in	O	O
photocell	photocell	O	O
cages	cages	O	O
.	.	O	O

Nicotine	nicotine	S_chemical	O
(	(	O	O
1.0	1.0	O	O
mg/kg	mg/kg	O	O
)	)	O	O
caused	caused	O	O
a	a	O	O
significant	significant	O	O
increase	increase	O	O
in	in	O	O
locomotor	locomotor	O	O
activity	activity	O	O
in	in	O	O
rats	rats	O	O
that	that	O	O
were	were	O	O
habituated	habituated	O	O
to	to	O	O
the	the	O	O
test	test	O	O
environment	environment	O	O
,	,	O	O
but	but	O	O
had	had	O	O
only	only	O	O
a	a	O	O
weak	weak	O	O
and	and	O	O
delayed	delayed	O	O
stimulant	stimulant	O	O
action	action	O	O
in	in	O	O
rats	rats	O	O
that	that	O	O
were	were	O	O
unfamiliar	unfamiliar	O	O
with	with	O	O
the	the	O	O
test	test	O	O
environment	environment	O	O
.	.	O	O

The	the	O	O
stimulant	stimulant	O	O
action	action	O	O
of	of	O	O
nicotine	nicotine	S_chemical	O
was	was	O	O
blocked	blocked	O	O
by	by	O	O
the	the	O	O
central	central	O	O
nicotinic	nicotinic	S_chemical	O
antagonist	antagonist	O	O
mecamylamine	mecamylamine	S_chemical	O
but	but	O	O
not	not	O	O
by	by	O	O
the	the	O	O
peripheral	peripheral	O	O
nicotinic	nicotinic	S_chemical	O
blocker	blocker	O	O
hexamethonium	hexamethonium	S_chemical	O
,	,	O	O
indicating	indicating	O	O
that	that	O	O
the	the	O	O
response	response	O	O
is	is	O	O
probably	probably	O	O
mediated	mediated	O	O
by	by	O	O
central	central	O	O
nicotinic	nicotinic	S_chemical	O
receptors	receptors	O	O
.	.	O	O

Nicotine-induced	nicotine-induced	O	O
hyperactivity	hyperactivity	O	S_disease
was	was	O	O
blocked	blocked	O	O
by	by	O	O
the	the	O	O
selective	selective	O	O
D1	d1	O	O
antagonist	antagonist	O	O
SCH	sch	B_chemical	O
23390	23390	I_chemical	O
,	,	O	O
the	the	O	O
selective	selective	O	O
D2	d2	O	O
antagonist	antagonist	O	O
raclopride	raclopride	S_chemical	O
and	and	O	O
the	the	O	O
D1/D2	d1/d2	O	O
antagonist	antagonist	O	O
fluphenazine	fluphenazine	O	O
.	.	O	O

Pretreatment	pretreatment	O	O
with	with	O	O
the	the	O	O
D2	d2	O	O
agonist	agonist	O	O
PHNO	phno	O	O
enhanced	enhanced	O	O
nicotine-induced	nicotine-induced	O	O
hyperactivity	hyperactivity	O	S_disease
,	,	O	O
whereas	whereas	O	O
the	the	O	O
D1	d1	O	O
agonist	agonist	O	O
SKF	skf	O	O
38393	38393	O	O
had	had	O	O
no	no	O	O
effect	effect	O	O
.	.	O	O

The	the	O	O
results	results	O	O
indicate	indicate	O	O
that	that	O	O
acute	acute	O	O
nicotine	nicotine	S_chemical	O
injection	injection	O	O
induces	induces	O	O
a	a	O	O
pronounced	pronounced	O	O
hyperactivity	hyperactivity	O	S_disease
in	in	O	O
rats	rats	O	O
habituated	habituated	O	O
to	to	O	O
the	the	O	O
test	test	O	O
environment	environment	O	O
.	.	O	O

The	the	O	O
effect	effect	O	O
appears	appears	O	O
to	to	O	O
be	be	O	O
mediated	mediated	O	O
by	by	O	O
central	central	O	O
nicotine	nicotine	S_chemical	O
