Effects	effects	O	O
of	of	O	O
amine	amine	O	O
pretreatment	pretreatment	O	O
on	on	O	O
ketamine	ketamine	S_chemical	O
catatonia	catatonia	O	O
in	in	O	O
pinealectomized	pinealectomized	O	O
or	or	O	O
hypophysectomized	hypophysectomized	O	O
animals	animals	O	O
.	.	O	O

The	the	O	O
present	present	O	O
studies	studies	O	O
were	were	O	O
designed	designed	O	O
to	to	O	O
clarify	clarify	O	O
the	the	O	O
role	role	O	O
of	of	O	O
catecholamines	catecholamines	S_chemical	O
and	and	O	O
pineal	pineal	O	O
idolamines	idolamines	O	O
on	on	O	O
ketamine-induced	ketamine-induced	O	O
catatonia	catatonia	O	O
in	in	O	O
the	the	O	O
intact	intact	O	O
,	,	O	O
pinealectomized	pinealectomized	O	O
or	or	O	O
hypophysectomized	hypophysectomized	O	O
chick	chick	O	O
and	and	O	O
rat	rat	O	O
.	.	O	O

In	in	O	O
the	the	O	O
pinealectomized	pinealectomized	O	O
chick	chick	O	O
,	,	O	O
pretreatment	pretreatment	O	O
with	with	O	O
dopamine	dopamine	S_chemical	O
increased	increased	O	O
the	the	O	O
duration	duration	O	O
of	of	O	O
catatonia	catatonia	O	O
(	(	O	O
DOC	doc	O	O
)	)	O	O
after	after	O	O
ketamine	ketamine	S_chemical	O
,	,	O	O
but	but	O	O
pretreatment	pretreatment	O	O
with	with	O	O
norepinephrine	norepinephrine	S_chemical	O
did	did	O	O
not	not	O	O
.	.	O	O

The	the	O	O
pineal	pineal	O	O
indolamines	indolamines	O	O
exhibited	exhibited	O	O
mixed	mixed	O	O
actions	actions	O	O
.	.	O	O

Serotonin	serotonin	S_chemical	O
and	and	O	O
N-acetyl	n-acetyl	O	O
serotonin	serotonin	S_chemical	O
which	which	O	O
augmented	augmented	O	O
ketamine	ketamine	S_chemical	O
DOC	doc	O	O
,	,	O	O
did	did	O	O
not	not	O	O
do	do	O	O
so	so	O	O
in	in	O	O
the	the	O	O
absence	absence	O	O
of	of	O	O
the	the	O	O
pineal	pineal	O	O
gland	gland	O	O
,	,	O	O
whereas	whereas	O	O
melatonin	melatonin	O	O
potentiated	potentiated	O	O
the	the	O	O
ketamine	ketamine	S_chemical	O
DOC	doc	O	O
in	in	O	O
both	both	O	O
the	the	O	O
intact	intact	O	O
and	and	O	O
pinealectomized	pinealectomized	O	O
chick	chick	O	O
.	.	O	O

Ketamine	ketamine	S_chemical	O
was	was	O	O
more	more	O	O
potent	potent	O	O
in	in	O	O
the	the	O	O
hypophysectomized	hypophysectomized	O	O
chick	chick	O	O
and	and	O	O
the	the	O	O
circadian	circadian	O	O
rhythm	rhythm	O	O
noted	noted	O	O
in	in	O	O
the	the	O	O
intact	intact	O	O
chick	chick	O	O
was	was	O	O
absent	absent	O	O
;	;	O	O
furthermore	furthermore	O	O
,	,	O	O
melatonin	melatonin	O	O
did	did	O	O
not	not	O	O
augment	augment	O	O
the	the	O	O
ketamine	ketamine	S_chemical	O
DOC	doc	O	O
whereas	whereas	O	O
dopamine	dopamine	S_chemical	O
continued	continued	O	O
to	to	O	O
do	do	O	O
so	so	O	O
.	.	O	O

This	this	O	O
study	study	O	O
did	did	O	O
not	not	O	O
demonstrate	demonstrate	O	O
a	a	O	O
species	species	O	O
difference	difference	O	O
regarding	regarding	O	O
the	the	O	O
role	role	O	O
of	of	O	O
the	the	O	O
amines	amines	O	O
on	on	O	O
the	the	O	O
pineal	pineal	O	O
in	in	O	O
spite	spite	O	O
of	of	O	O
the	the	O	O
immature	immature	O	O
blood-brain	blood-brain	O	O
barrier	barrier	O	O
in	in	O	O
the	the	O	O
young	young	O	O
chick	chick	O	O
and	and	O	O
the	the	O	O
intact	intact	O	O
barrier	barrier	O	O
in	in	O	O
the	the	O	O
rat	rat	O	O
.	.	O	O

In	in	O	O
addition	addition	O	O
,	,	O	O
these	these	O	O
data	data	O	O
indicate	indicate	O	O
a	a	O	O
direct	direct	O	O
role	role	O	O
of	of	O	O
the	the	O	O
pituitary	pituitary	O	O
in	in	O	O
the	the	O	O
augmentation	augmentation	O	O
of	of	O	O
ketamine	ketamine	S_chemical	O
DOC	doc	O	O
induced	induced	O	O
by	by	O	O
melatonin	melatonin	O	O
.	.	O	O

Furthermore	furthermore	O	O
,	,	O	O
dopamine	dopamine	S_chemical	O
appeared	appeared	O	O
to	to	O	O
act	act	O	O
on	on	O	O
systems	systems	O	O
more	more	O	O
closely	closely	O	O
involved	involved	O	O
with	with	O	O
the	the	O	O
induction	induction	O	O
of	of	O	O
ketamine	ketamine	S_chemical	O
catatonia	catatonia	O	O
rather	rather	O	O
than	than	O	O
directly	directly	O	O
on	on	O	O
the	the	O	O
pituitary	pituitary	O	O
.	.	O	O

