Comparison	comparison	O	O
of	of	O	O
aqueous	aqueous	O	O
and	and	O	O
gellan	gellan	S_chemical	O
ophthalmic	ophthalmic	O	O
timolol	timolol	S_chemical	O
with	with	O	O
placebo	placebo	O	O
on	on	O	O
the	the	O	O
24-hour	24-hour	O	O
heart	heart	O	O
rate	rate	O	O
response	response	O	O
in	in	O	O
patients	patients	O	O
on	on	O	O
treatment	treatment	O	O
for	for	O	O
glaucoma	glaucoma	O	S_disease
.	.	O	O

PURPOSE	purpose	O	O
:	:	O	O
Topical	topical	O	O
beta-blocker	beta-blocker	O	O
treatment	treatment	O	O
is	is	O	O
routine	routine	O	O
therapy	therapy	O	O
in	in	O	O
the	the	O	O
management	management	O	O
of	of	O	O
patients	patients	O	O
with	with	O	O
glaucoma	glaucoma	O	S_disease
.	.	O	O

Therapy	therapy	O	O
results	results	O	O
in	in	O	O
systemic	systemic	O	O
absorption	absorption	O	O
,	,	O	O
however	however	O	O
,	,	O	O
the	the	O	O
degree	degree	O	O
of	of	O	O
reduction	reduction	O	O
of	of	O	O
resting	resting	O	O
and	and	O	O
peak	peak	O	O
heart	heart	O	O
rate	rate	O	O
has	has	O	O
not	not	O	O
been	been	O	O
quantified	quantified	O	O
.	.	O	O

DESIGN	design	O	O
:	:	O	O
This	this	O	O
trial	trial	O	O
evaluated	evaluated	O	O
the	the	O	O
effect	effect	O	O
of	of	O	O
placebo	placebo	O	O
,	,	O	O
0.5	0.5	O	O
%	%	O	O
aqueous	aqueous	O	O
timolol	timolol	S_chemical	O
(	(	O	O
timolol	timolol	S_chemical	O
solution	solution	O	O
)	)	O	O
and	and	O	O
a	a	O	O
0.5	0.5	O	O
%	%	O	O
timolol	timolol	S_chemical	O
suspension	suspension	O	O
that	that	O	O
forms	forms	O	O
a	a	O	O
gel	gel	O	O
on	on	O	O
application	application	O	O
to	to	O	O
the	the	O	O
conjunctiva	conjunctiva	O	O
(	(	O	O
timolol	timolol	S_chemical	O
gellan	gellan	S_chemical	O
)	)	O	O
on	on	O	O
the	the	O	O
24-hour	24-hour	O	O
heart	heart	O	O
rate	rate	O	O
in	in	O	O
patients	patients	O	O
currently	currently	O	O
being	being	O	O
treated	treated	O	O
for	for	O	O
glaucoma	glaucoma	O	S_disease
to	to	O	O
quantify	quantify	O	O
the	the	O	O
reduction	reduction	O	O
in	in	O	O
mean	mean	O	O
heart	heart	O	O
rate	rate	O	O
.	.	O	O

METHODS	methods	O	O
:	:	O	O
Forty-three	forty-three	O	O
Caucasian	caucasian	O	O
patients	patients	O	O
with	with	O	O
primary	primary	O	O
open-angle	open-angle	O	O
glaucoma	glaucoma	O	S_disease
or	or	O	O
ocular	ocular	O	B_disease
hypertension	hypertension	O	S_disease
with	with	O	O
a	a	O	O
mean	mean	O	O
(	(	O	O
+	+	O	O
/-SD	/-sd	O	O
)	)	O	O
age	age	O	O
of	of	O	O
63	63	O	O
(	(	O	O
+	+	O	O
/-8	/-8	O	O
)	)	O	O
years	years	O	O
were	were	O	O
randomized	randomized	O	O
and	and	O	O
crossed	crossed	O	O
over	over	O	O
in	in	O	O
a	a	O	O
double-masked	double-masked	O	O
manner	manner	O	O
to	to	O	O
14	14	O	O
days	days	O	O
of	of	O	O
treatment	treatment	O	O
with	with	O	O
placebo	placebo	O	O
(	(	O	O
morning	morning	O	O
and	and	O	O
evening	evening	O	O
in	in	O	O
both	both	O	O
eyes	eyes	O	O
)	)	O	O
,	,	O	O
timolol	timolol	S_chemical	O
solution	solution	O	O
(	(	O	O
morning	morning	O	O
and	and	O	O
evening	evening	O	O
in	in	O	O
both	both	O	O
eyes	eyes	O	O
)	)	O	O
,	,	O	O
or	or	O	O
timolol	timolol	S_chemical	O
gellan	gellan	S_chemical	O
(	(	O	O
morning	morning	O	O
in	in	O	O
both	both	O	O
eyes	eyes	O	O
with	with	O	O
placebo	placebo	O	O
in	in	O	O
the	the	O	O
evening	evening	O	O
)	)	O	O
.	.	O	O

On	on	O	O
the	the	O	O
13th	13th	O	O
day	day	O	O
of	of	O	O
each	each	O	O
period	period	O	O
,	,	O	O
heart	heart	O	O
rate	rate	O	O
was	was	O	O
recorded	recorded	O	O
continuously	continuously	O	O
during	during	O	O
a	a	O	O
typical	typical	O	O
,	,	O	O
ambulant	ambulant	O	O
24-hour	24-hour	O	O
period	period	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
Both	both	O	O
timolol	timolol	S_chemical	O
solution	solution	O	O
and	and	O	O
timolol	timolol	S_chemical	O
gellan	gellan	S_chemical	O
reduced	reduced	O	O
the	the	O	O
mean	mean	O	O
24-hour	24-hour	O	O
heart	heart	O	O
rate	rate	O	O
compared	compared	O	O
with	with	O	O
placebo	placebo	O	O
(	(	O	O
P	p	O	O
<	<	O	O
or	or	O	O
=	=	O	O
.001	.001	O	O
)	)	O	O
,	,	O	O
and	and	O	O
this	this	O	O
reduction	reduction	O	O
was	was	O	O
most	most	O	O
pronounced	pronounced	O	O
during	during	O	O
the	the	O	O
daytime	daytime	O	O
(	(	O	O
-7.5	-7.5	O	O
%	%	O	O
change	change	O	O
in	in	O	O
mean	mean	O	O
heart	heart	O	O
rate	rate	O	O
,	,	O	O
-5.7	-5.7	O	O
