Comparison	comparison	O	O
of	of	O	O
developmental	developmental	O	O
toxicity	toxicity	O	O
of	of	O	O
selective	selective	O	O
and	and	O	O
non-selective	non-selective	O	O
cyclooxygenase-2	cyclooxygenase-2	B_chemicals	O
inhibitors	inhibitors	I_chemicals	O
in	in	O	O
CRL:(WI)WUBR	crl:(wi)wubr	O	O
Wistar	wistar	O	O
rats	rats	O	O
--	--	O	O
DFU	dfu	O	O
and	and	O	O
piroxicam	piroxicam	O	O
study	study	O	O
.	.	O	O

BACKGROUND	background	O	O
:	:	O	O
Cyclooxygenase	cyclooxygenase	S_chemicals	O
(	(	O	O
COX	cox	O	O
)	)	O	O
inhibitors	inhibitors	O	O
are	are	O	O
one	one	O	O
of	of	O	O
the	the	O	O
most	most	O	O
often	often	O	O
ingested	ingested	O	O
drugs	drugs	S_chemicals	O
during	during	O	O
pregnancy	pregnancy	O	O
.	.	O	O

Unlike	unlike	O	O
general	general	O	O
toxicity	toxicity	O	O
data	data	O	O
,	,	O	O
their	their	O	O
prenatal	prenatal	O	O
toxic	toxic	O	O
effects	effects	O	O
were	were	O	O
not	not	O	O
extensively	extensively	O	O
studied	studied	O	O
before	before	O	O
.	.	O	O

The	the	O	O
aim	aim	O	O
of	of	O	O
the	the	O	O
experiment	experiment	O	O
was	was	O	O
to	to	O	O
evaluate	evaluate	O	O
the	the	O	O
developmental	developmental	O	O
toxicity	toxicity	O	O
of	of	O	O
the	the	O	O
non-selective	non-selective	O	O
(	(	O	O
piroxicam	piroxicam	O	O
)	)	O	O
and	and	O	O
selective	selective	O	O
(	(	O	O
DFU	dfu	O	O
;	;	O	O
5,5-dimethyl-3-(3-fluorophenyl)-4-(4-methylsulphonyl	5,5-dimethyl-3-(3-fluorophenyl)-4-(4-methylsulphonyl	O	O
)	)	O	O
phenyl-2(5H)-furanon	phenyl-2(5h)-furanon	O	O
)	)	O	O
COX-2	cox-2	B_chemicals	O
inhibitors	inhibitors	I_chemicals	O
.	.	O	O

METHODS	methods	O	O
:	:	O	O
Drugs	drugs	S_chemicals	O
were	were	O	O
separately	separately	O	O
,	,	O	O
orally	orally	O	O
once	once	O	O
daily	daily	O	O
dosed	dosed	O	O
to	to	O	O
