,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,label,orig_index,olabel
2,carcinoma,2,3,9,18,"In colon carcinoma cells, loss of APC leads to the accumulation of betacatenin in the nucleus, where it binds to and activates the Tcf-4 transcription factor (reviewed in [1] [2]).",10021369_3,0,2,0
3,carcinoma,23,24,159,168,"Like APC, APC2 regulates the formation of active betacatenin-Tcf complexes, as demonstrated using transient transcriptional activation assays in APC -/- colon carcinoma cells.",10021369_6,0,3,0
4,cancer,11,12,72,78,APC and APC2 may therefore have comparable functions in development and cancer.,10021369_9,0,4,0
5,cancer,23,24,143,149,"A common MSH2 mutation in English and North American HNPCC families: origin, phenotypic expression, and sex specific differences in colorectal cancer.",10051005_0,0,5,0
7,cancer,11,12,71,77,"Although this mutation was initially detected in four of 33 colorectal cancer families analysed from eastern England, more extensive analysis has reduced the frequency to four of 52 (8%) English HNPCC kindreds analysed.",10051005_3,0,7,0
8,cancer,9,10,57,63,"To investigate the origin of this mutation in colorectal cancer families from England (n = 4), Newfoundland (n = 10), and the United States (n = 3), haplotype analysis using microsatellite markers linked to MSH2 was performed.",10051005_5,0,8,0
9,cancers,14,15,77,84,"We calculated age related risks of all, colorectal, endometrial, and ovarian cancers in nt943 + 3 A-- > T MSH2 mutation carriers (n = 76) for all patients and for men and women separately.",10051005_9,0,9,0
10,cancers,13,14,65,72,"For both sexes combined, the penetrances at age 60 years for all cancers  and for colorectal cancer were 0.",10051005_10,0,10,0
11,cancer,18,19,93,99,"For both sexes combined, the penetrances at age 60 years for all cancers  and for colorectal cancer were 0.",10051005_10,0,11,0
12,cancer,4,5,23,29,The risk of colorectal cancer was significantly higher (p < 0. 01) in males than females (0. 63 v 0. 30 and 0.,10051005_12,0,12,0
13,endometrial cancer,8,10,37,55,For females there was a high risk of endometrial cancer (0. 5 at age 60 years) and premenopausal ovarian cancer (0. 2 at 50 years).,10051005_15,0,13,0
14,ovarian cancer,21,23,97,111,For females there was a high risk of endometrial cancer (0. 5 at age 60 years) and premenopausal ovarian cancer (0. 2 at 50 years).,10051005_15,0,14,0
15,cancer,5,6,41,47,These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers.,10051005_16,0,15,0
16,cancer,18,19,137,143,These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers.,10051005_16,0,16,0
21,infections,12,13,96,106,Familial deficiency of the seventh component of complement associated with recurrent bacteremic infections due to Neisseria.,100562_0,0,21,0
22,infection,14,15,83,92,"
The serum of a 29-year old woman with a recent episode of disseminated gonococcal infection and a history of meningococcal meningitis and arthritis as a child was found to lack serum hemolytic complement activity.",100562_1,0,22,0
23,meningitis,20,21,124,134,"
The serum of a 29-year old woman with a recent episode of disseminated gonococcal infection and a history of meningococcal meningitis and arthritis as a child was found to lack serum hemolytic complement activity.",100562_1,0,23,0
